Iter,Loss,ErrorLambda1,ErrorLambda2
1.000000000000000000e+00,3.340384066104888916e-01,1.000000000000000000e+02,2.212770308849790979e+01
2.000000000000000000e+00,2.972640991210937500e-01,1.000001455958113183e+02,2.212770308849790979e+01
3.000000000000000000e+00,2.150956094264984131e-01,1.000287671311525628e+02,2.212752753833467168e+01
4.000000000000000000e+00,2.178113758563995361e-01,1.002436323091387749e+02,2.212581592424308496e+01
5.000000000000000000e+00,2.126581519842147827e-01,1.001142545603215694e+02,2.212685459604225002e+01
6.000000000000000000e+00,2.102882713079452515e-01,1.002041185274720192e+02,2.212614508079915510e+01
7.000000000000000000e+00,1.981391310691833496e-01,1.008350715041160583e+02,2.212084200295129222e+01
8.000000000000000000e+00,1.848243772983551025e-01,1.045372944325208664e+02,2.208889918783179951e+01
9.000000000000000000e+00,1.695693731307983398e-01,1.031650047749280930e+02,2.210074882385048056e+01
1.000000000000000000e+01,1.529802232980728149e-01,1.041078288108110428e+02,2.209646978862151201e+01
1.100000000000000000e+01,1.306319385766983032e-01,1.072543896734714508e+02,2.210059521745764499e+01
1.200000000000000000e+01,1.091201901435852051e-01,1.061712935566902161e+02,2.212801030128358093e+01
1.300000000000000000e+01,1.039519309997558594e-01,1.062889181077480316e+02,2.215581305838666637e+01
1.400000000000000000e+01,9.251850098371505737e-02,1.035606361925601959e+02,2.258029335310028074e+01
1.500000000000000000e+01,8.787471801042556763e-02,1.010786233469843864e+02,2.286516738049751751e+01
1.600000000000000000e+01,8.070101588964462280e-02,9.666670933365821838e+01,2.331749431985502952e+01
1.700000000000000000e+01,2.232316970825195312e+00,4.769690036773681641e+01,2.828339150626867848e+01
1.800000000000000000e+01,1.079731136560440063e-01,7.644090950489044189e+01,2.540892581879156253e+01
1.900000000000000000e+01,7.039335370063781738e-02,8.690671324729919434e+01,2.433393707960307495e+01
2.000000000000000000e+01,7.257287204265594482e-02,8.566142022609710693e+01,2.457636454044697771e+01
2.100000000000000000e+01,6.820875406265258789e-02,8.637876063585281372e+01,2.443680216067140876e+01
2.200000000000000000e+01,6.733407825231552124e-02,8.774529621005058289e+01,2.433981069548147147e+01
2.300000000000000000e+01,6.369307637214660645e-02,8.930541649460792542e+01,2.445661738534709073e+01
2.400000000000000000e+01,5.868231877684593201e-02,9.253248348832130432e+01,2.490111039867003129e+01
2.500000000000000000e+01,5.115683376789093018e-02,9.176040738821029663e+01,2.516267282730706256e+01
2.600000000000000000e+01,1.015101075172424316e-01,9.436581283807754517e+01,2.652198699963266293e+01
2.700000000000000000e+01,4.193723946809768677e-02,9.286152943968772888e+01,2.574021092059529536e+01
2.800000000000000000e+01,5.426241829991340637e-02,9.294734150171279907e+01,2.585036133343807663e+01
2.900000000000000000e+01,4.016246274113655090e-02,9.288422912359237671e+01,2.576935224769308874e+01
3.000000000000000000e+01,3.959649056196212769e-02,9.196788966655731201e+01,2.576166461346121750e+01
3.100000000000000000e+01,3.907506912946701050e-02,9.157987236976623535e+01,2.579935669642680551e+01
3.200000000000000000e+01,3.860778361558914185e-02,9.192798808217048645e+01,2.583041444613996518e+01
3.300000000000000000e+01,3.762446343898773193e-02,9.225638881325721741e+01,2.582288041830092951e+01
3.400000000000000000e+01,3.583219647407531738e-02,9.303024634718894958e+01,2.576050159362975478e+01
