Iter,Loss,ErrorLambda1,ErrorLambda2
1.000000000000000000e+00,3.301711082458496094e-01,1.000000000000000000e+02,2.212770308849790979e+01
2.000000000000000000e+00,2.938981354236602783e-01,1.000001205081957778e+02,2.212770308849790979e+01
3.000000000000000000e+00,2.184297293424606323e-01,1.000173810316482559e+02,2.212759336964588286e+01
4.000000000000000000e+00,2.292515635490417480e-01,1.001923908712342381e+02,2.212607193489780499e+01
5.000000000000000000e+00,2.112890928983688354e-01,1.000830034841783345e+02,2.212704477538575887e+01
6.000000000000000000e+00,2.096820920705795288e-01,1.001448851078748703e+02,2.212651812489604097e+01
7.000000000000000000e+00,1.890177279710769653e-01,1.011718356050550938e+02,2.211749192066946534e+01
8.000000000000000000e+00,1.851096898317337036e-01,1.039385493844747543e+02,2.209335377322400618e+01
9.000000000000000000e+00,1.714644581079483032e-01,1.027453590184450150e+02,2.210375512039595947e+01
1.000000000000000000e+01,1.524621248245239258e-01,1.039045970886945724e+02,2.209829112156512210e+01
1.100000000000000000e+01,1.210835352540016174e-01,1.083924531936645508e+02,2.209884703041538501e+01
1.200000000000000000e+01,1.062846034765243530e-01,1.071776926517486572e+02,2.215484753248885141e+01
1.300000000000000000e+01,1.004493832588195801e-01,1.071945980191230774e+02,2.218553223810512520e+01
1.400000000000000000e+01,9.690820425748825073e-02,1.067486181855201721e+02,2.226997186662342187e+01
1.500000000000000000e+01,9.412729740142822266e-02,1.056422632187604904e+02,2.241942357226149340e+01
1.600000000000000000e+01,8.784798532724380493e-02,1.014187503606081009e+02,2.286917577589149175e+01
1.700000000000000000e+01,5.623495578765869141e-01,6.428116261959075928e+01,2.666043024711757781e+01
1.800000000000000000e+01,8.204886317253112793e-02,8.539745062589645386e+01,2.452819064981794739e+01
1.900000000000000000e+01,7.663433253765106201e-02,9.078161865472793579e+01,2.397468829971328219e+01
2.000000000000000000e+01,7.580026239156723022e-02,8.537177443504333496e+01,2.471861137480208370e+01
2.100000000000000000e+01,7.295691221952438354e-02,8.767946287989616394e+01,2.440216757638224010e+01
2.200000000000000000e+01,7.104329019784927368e-02,9.047186076641082764e+01,2.423468540606142696e+01
2.300000000000000000e+01,6.850804388523101807e-02,8.948570191860198975e+01,2.438197199301954043e+01
2.400000000000000000e+01,6.601127237081527710e-02,8.802768811583518982e+01,2.467549186595633159e+01
2.500000000000000000e+01,6.191245838999748230e-02,8.762508481740951538e+01,2.502808436882328280e+01
2.600000000000000000e+01,8.605629950761795044e-02,8.525134474039077759e+01,2.652938205025913021e+01
2.700000000000000000e+01,5.658382549881935120e-02,8.652331233024597168e+01,2.572870507031296228e+01
2.800000000000000000e+01,4.968436062335968018e-02,8.523929119110107422e+01,2.643192245130055440e+01
2.900000000000000000e+01,5.176677554845809937e-02,8.709195554256439209e+01,2.670591236857692863e+01
3.000000000000000000e+01,4.639491438865661621e-02,8.606040924787521362e+01,2.655348362475391966e+01
3.100000000000000000e+01,4.504829272627830505e-02,8.893015384674072266e+01,2.669682764762927363e+01
3.200000000000000000e+01,4.180262610316276550e-02,9.012148827314376831e+01,2.659332619721919855e+01
3.300000000000000000e+01,4.047523066401481628e-02,9.160813912749290466e+01,2.650187187676144518e+01
3.400000000000000000e+01,3.951891139149665833e-02,9.203663319349288940e+01,2.654517425036057077e+01
3.500000000000000000e+01,3.879057615995407104e-02,9.173206612467765808e+01,2.660486862045220846e+01
3.600000000000000000e+01,3.782003745436668396e-02,9.219606295228004456e+01,2.660227925554442407e+01
3.700000000000000000e+01,3.699900954961776733e-02,9.232376441359519958e+01,2.664836117339484645e+01
3.800000000000000000e+01,3.617405891418457031e-02,9.248437806963920593e+01,2.659755403031722309e+01
3.900000000000000000e+01,3.560464456677436829e-02,9.252527281641960144e+01,2.668608982931111484e+01
4.000000000000000000e+01,3.538244590163230896e-02,9.241068214178085327e+01,2.669549639222471171e+01
4.100000000000000000e+01,3.523821756243705750e-02,9.247621968388557434e+01,2.671356342985812660e+01
4.200000000000000000e+01,3.445717692375183105e-02,9.270683676004409790e+01,2.680119221967527920e+01
4.300000000000000000e+01,3.373439237475395203e-02,9.306679293513298035e+01,2.686040382681800764e+01
4.400000000000000000e+01,3.329105675220489502e-02,9.303702414035797119e+01,2.687546456790595073e+01
4.500000000000000000e+01,3.307192027568817139e-02,9.302100762724876404e+01,2.691889860412750579e+01
4.600000000000000000e+01,3.297026827931404114e-02,9.298754930496215820e+01,2.693221115817318534e+01
4.700000000000000000e+01,3.234105557203292847e-02,9.273712337017059326e+01,2.704890081459664231e+01
4.800000000000000000e+01,3.141739591956138611e-02,9.207444563508033752e+01,2.734097239868670925e+01
4.900000000000000000e+01,3.065347485244274139e-02,9.111671447753906250e+01,2.752616319172432924e+01
5.000000000000000000e+01,3.006126917898654938e-02,9.041298553347587585e+01,2.769691498383548378e+01
5.100000000000000000e+01,2.985938265919685364e-02,8.954416662454605103e+01,2.780192323981337665e+01
5.200000000000000000e+01,2.973436191678047180e-02,8.931350260972976685e+01,2.778460960496385468e+01
5.300000000000000000e+01,2.957088313996791840e-02,8.891746327280998230e+01,2.773748170072413188e+01
5.400000000000000000e+01,2.944871783256530762e-02,8.802224174141883850e+01,2.767995244931245225e+01
5.500000000000000000e+01,2.934453077614307404e-02,8.763629943132400513e+01,2.758039356298513312e+01
5.600000000000000000e+01,2.926002815365791321e-02,8.789783716201782227e+01,2.764032199996108830e+01
5.700000000000000000e+01,2.920866757631301880e-02,8.786919042468070984e+01,2.767843832915450974e+01
5.800000000000000000e+01,2.907627634704113007e-02,8.769809901714324951e+01,2.775633139950199180e+01
5.900000000000000000e+01,2.880907244980335236e-02,8.724535852670669556e+01,2.789217065289885156e+01
6.000000000000000000e+01,2.822455391287803650e-02,8.623799234628677368e+01,2.815295042039143780e+01
6.100000000000000000e+01,2.737742476165294647e-02,8.525302410125732422e+01,2.839578018369276435e+01
6.200000000000000000e+01,2.637160941958427429e-02,8.406999409198760986e+01,2.881895848136235116e+01
6.300000000000000000e+01,2.651459351181983948e-02,8.346739560365676880e+01,2.885771117989751744e+01
6.400000000000000000e+01,2.622390910983085632e-02,8.381923884153366089e+01,2.883507983801986541e+01
6.500000000000000000e+01,2.602043561637401581e-02,8.233401179313659668e+01,2.915125299660471470e+01
