Iter,Loss,ErrorLambda1,ErrorLambda2
1.000000000000000000e+00,3.421220183372497559e-01,1.000000000000000000e+02,2.212770308849790979e+01
2.000000000000000000e+00,3.053340613842010498e-01,1.000001195116965391e+02,2.212770308849790979e+01
3.000000000000000000e+00,2.213904261589050293e-01,1.000239115295698866e+02,2.212759336964588286e+01
4.000000000000000000e+00,2.439498454332351685e-01,1.002227584831416607e+02,2.212588907014443151e+01
5.000000000000000000e+00,2.153184860944747925e-01,1.000839758140500635e+02,2.212707403374630033e+01
6.000000000000000000e+00,2.135141789913177490e-01,1.001501792110502720e+02,2.212651812489604097e+01
7.000000000000000000e+00,1.959373950958251953e-01,1.009911743924021721e+02,2.211924742230186425e+01
8.000000000000000000e+00,1.871270835399627686e-01,1.040918029844760895e+02,2.209190548437727841e+01
9.000000000000000000e+00,1.729787439107894897e-01,1.028551422059535980e+02,2.210278959449814096e+01
1.000000000000000000e+01,1.551983505487442017e-01,1.038328733295202255e+02,2.209907378270956713e+01
1.100000000000000000e+01,1.455805599689483643e-01,1.078144595026969910e+02,2.210286274039949106e+01
1.200000000000000000e+01,1.201764047145843506e-01,1.060851432383060455e+02,2.210123158679938982e+01
1.300000000000000000e+01,1.097447052597999573e-01,1.061512742191553116e+02,2.212428717490486818e+01
1.400000000000000000e+01,1.014263555407524109e-01,1.065298445522785187e+02,2.217852486075580387e+01
1.500000000000000000e+01,9.643092006444931030e-02,1.054798394441604614e+02,2.235302903760620907e+01
1.600000000000000000e+01,9.184344112873077393e-02,1.025721149519085884e+02,2.265213725740613171e+01
1.700000000000000000e+01,8.619831502437591553e-02,9.704786483198404312e+01,2.320614431423011226e+01
1.800000000000000000e+01,7.848454266786575317e-02,8.739475011825561523e+01,2.421734251285137063e+01
1.900000000000000000e+01,7.220435142517089844e-02,8.565306663513183594e+01,2.449024987078776405e+01
2.000000000000000000e+01,7.109376043081283569e-02,8.879570960998535156e+01,2.419384804933778810e+01
2.100000000000000000e+01,7.011014223098754883e-02,8.781718239188194275e+01,2.433025052617503903e+01
2.200000000000000000e+01,6.790275871753692627e-02,8.701207339763641357e+01,2.460023936264757793e+01
2.300000000000000000e+01,6.472828239202499390e-02,8.764364346861839294e+01,2.487922514498614746e+01
2.400000000000000000e+01,6.059278920292854309e-02,8.981561213731765747e+01,2.550883580544536144e+01
2.500000000000000000e+01,5.426805093884468079e-02,8.995151594281196594e+01,2.579097417613211363e+01
2.600000000000000000e+01,4.687905311584472656e-02,9.338663369417190552e+01,2.693719239405510990e+01
2.700000000000000000e+01,5.568690598011016846e-02,9.009022414684295654e+01,2.651518443080712117e+01
2.800000000000000000e+01,4.447007179260253906e-02,9.245699122548103333e+01,2.681843270862344752e+01
2.900000000000000000e+01,4.612264782190322876e-02,8.997911289334297180e+01,2.672125106409000139e+01
3.000000000000000000e+01,4.263205081224441528e-02,9.140049815177917480e+01,2.677700287009887603e+01
3.100000000000000000e+01,4.219488427042961121e-02,9.094516485929489136e+01,2.666879082364187070e+01
3.200000000000000000e+01,4.183657467365264893e-02,9.080054908990859985e+01,2.675758263329048248e+01
3.300000000000000000e+01,4.083571583032608032e-02,9.099058583378791809e+01,2.689432889586408493e+01
3.400000000000000000e+01,3.854972496628761292e-02,9.151105433702468872e+01,2.715005428157339296e+01
3.500000000000000000e+01,3.749774396419525146e-02,9.263724386692047119e+01,2.729553416476816352e+01
3.600000000000000000e+01,3.721255064010620117e-02,9.248494058847427368e+01,2.722876658601599686e+01
3.700000000000000000e+01,3.685938939452171326e-02,9.262381270527839661e+01,2.717708169212217229e+01
3.800000000000000000e+01,3.671266138553619385e-02,9.255789592862129211e+01,2.722515317848931460e+01
3.900000000000000000e+01,3.647201135754585266e-02,9.259655624628067017e+01,2.726123605162521102e+01
4.000000000000000000e+01,3.590244054794311523e-02,9.270777478814125061e+01,2.737484626560183898e+01
4.100000000000000000e+01,3.555531427264213562e-02,9.256476610898971558e+01,2.742791361703117303e+01
4.200000000000000000e+01,3.511133417487144470e-02,9.224847257137298584e+01,2.760197891847348117e+01
4.300000000000000000e+01,3.482868894934654236e-02,9.195105209946632385e+01,2.776494798668100827e+01
4.400000000000000000e+01,3.448401018977165222e-02,9.153889343142509460e+01,2.806742823253316033e+01
4.500000000000000000e+01,3.405699506402015686e-02,9.108625054359436035e+01,2.834506081569675828e+01
4.600000000000000000e+01,3.357156738638877869e-02,9.052689671516418457e+01,2.898132043858867490e+01
4.700000000000000000e+01,3.304554522037506104e-02,9.031316712498664856e+01,2.906995864184445821e+01
4.800000000000000000e+01,3.276498615741729736e-02,8.965963870286941528e+01,2.921234445341213259e+01
4.900000000000000000e+01,3.250213339924812317e-02,8.887355476617813110e+01,2.927779540594000451e+01
5.000000000000000000e+01,3.220213949680328369e-02,8.708038330078125000e+01,2.925755593503649266e+01
5.100000000000000000e+01,3.199709206819534302e-02,8.701707720756530762e+01,2.914716414071925499e+01
5.200000000000000000e+01,3.195427358150482178e-02,8.704880028963088989e+01,2.913739916288904297e+01
5.300000000000000000e+01,3.192330896854400635e-02,8.697455078363418579e+01,2.905301073650169386e+01
5.400000000000000000e+01,3.185104951262474060e-02,8.681148737668991089e+01,2.908253242228650493e+01
5.500000000000000000e+01,3.152619674801826477e-02,8.606137931346893311e+01,2.922404779762810989e+01
5.600000000000000000e+01,3.110811114311218262e-02,8.497075587511062622e+01,2.941817701981068822e+01
5.700000000000000000e+01,3.059363365173339844e-02,8.446442484855651855e+01,2.975139317341006162e+01
5.800000000000000000e+01,2.975818142294883728e-02,8.371138423681259155e+01,3.053958414799580723e+01
5.900000000000000000e+01,2.919310703873634338e-02,8.352904766798019409e+01,3.131977296097387864e+01
6.000000000000000000e+01,2.899177931249141693e-02,8.218128234148025513e+01,3.213238735202035201e+01
6.100000000000000000e+01,2.867739088833332062e-02,8.272797018289566040e+01,3.180392568200872816e+01
6.200000000000000000e+01,2.784158848226070404e-02,8.115674257278442383e+01,3.237811369301513764e+01
6.300000000000000000e+01,2.785208448767662048e-02,8.096826970577239990e+01,3.210484060557199371e+01
6.400000000000000000e+01,2.759537845849990845e-02,8.106356263160705566e+01,3.224313024666407301e+01
6.500000000000000000e+01,2.745111472904682159e-02,8.042479455471038818e+01,3.239929674604606191e+01
6.600000000000000000e+01,2.739469148218631744e-02,8.077753931283950806e+01,3.230620395739806838e+01
6.700000000000000000e+01,2.733488194644451141e-02,8.093010485172271729e+01,3.231152897901633736e+01
6.800000000000000000e+01,2.723109908401966095e-02,8.106084167957305908e+01,3.234031920578765096e+01
6.900000000000000000e+01,2.690783888101577759e-02,8.089189976453781128e+01,3.262787037317429650e+01
7.000000000000000000e+01,2.669771201908588409e-02,8.052288889884948730e+01,3.306834036192299209e+01
7.100000000000000000e+01,2.638309448957443237e-02,8.010415285825729370e+01,3.307564763746784564e+01
7.200000000000000000e+01,2.626154012978076935e-02,7.990047782659530640e+01,3.293879897063236228e+01
7.300000000000000000e+01,2.610596455633640289e-02,7.927767932415008545e+01,3.313141407265699456e+01
7.400000000000000000e+01,2.605655603110790253e-02,7.903977334499359131e+01,3.317715220477106897e+01
7.500000000000000000e+01,2.601335570216178894e-02,7.857960611581802368e+01,3.326914049030867915e+01
7.600000000000000000e+01,2.596805244684219360e-02,7.827833890914916992e+01,3.327638924913245688e+01
7.700000000000000000e+01,2.587840147316455841e-02,7.773007750511169434e+01,3.329733092068892120e+01
7.800000000000000000e+01,2.571051381528377533e-02,7.700261473655700684e+01,3.332066446321953634e+01
7.900000000000000000e+01,2.526604570448398590e-02,7.531727105379104614e+01,3.350031811152496886e+01
8.000000000000000000e+01,2.475357241928577423e-02,7.319511473178863525e+01,3.369444733370755074e+01
8.100000000000000000e+01,2.447105757892131805e-02,7.299919128417968750e+01,3.403513168383474152e+01
8.200000000000000000e+01,2.401761338114738464e-02,7.468928992748260498e+01,3.374906537824550412e+01
8.300000000000000000e+01,2.377466484904289246e-02,7.495568692684173584e+01,3.389542301225647236e+01
8.400000000000000000e+01,2.360696345567703247e-02,7.529782801866531372e+01,3.400367163166415452e+01
8.500000000000000000e+01,2.353009954094886780e-02,7.570863962173461914e+01,3.406434615683387790e+01
8.600000000000000000e+01,2.344671823084354401e-02,7.561261206865310669e+01,3.414114203866112263e+01
8.700000000000000000e+01,2.322397008538246155e-02,7.546212673187255859e+01,3.424701341627493179e+01
8.800000000000000000e+01,2.273275144398212433e-02,7.473348677158355713e+01,3.435775631091865279e+01
