Iter,Loss,L2
1.000000000000000000e+00,3.421220183372497559e-01,1.000000000000000000e+02,2.212770271301269531e+01
2.000000000000000000e+00,3.053340613842010498e-01,1.000001220703125000e+02,2.212770271301269531e+01
3.000000000000000000e+00,2.213904261589050293e-01,1.000239105224609375e+02,2.212759399414062500e+01
4.000000000000000000e+00,2.439498454332351685e-01,1.002227554321289062e+02,2.212588882446289062e+01
5.000000000000000000e+00,2.153184860944747925e-01,1.000839691162109375e+02,2.212707328796386719e+01
6.000000000000000000e+00,2.135141789913177490e-01,1.001501770019531250e+02,2.212651824951171875e+01
7.000000000000000000e+00,1.959373950958251953e-01,1.009911804199218750e+02,2.211924743652343750e+01
8.000000000000000000e+00,1.871270835399627686e-01,1.040917968750000000e+02,2.209190559387207031e+01
9.000000000000000000e+00,1.729787439107894897e-01,1.028551483154296875e+02,2.210278892517089844e+01
1.000000000000000000e+01,1.551983505487442017e-01,1.038328781127929688e+02,2.209907341003417969e+01
1.100000000000000000e+01,1.455805599689483643e-01,1.078144531250000000e+02,2.210286331176757812e+01
1.200000000000000000e+01,1.201764047145843506e-01,1.060851440429687500e+02,2.210123062133789062e+01
1.300000000000000000e+01,1.097447052597999573e-01,1.061512680053710938e+02,2.212428665161132812e+01
1.400000000000000000e+01,1.014263555407524109e-01,1.065298461914062500e+02,2.217852401733398438e+01
1.500000000000000000e+01,9.643092006444931030e-02,1.054798355102539062e+02,2.235302925109863281e+01
1.600000000000000000e+01,9.184344112873077393e-02,1.025721206665039062e+02,2.265213775634765625e+01
1.700000000000000000e+01,8.619831502437591553e-02,9.704786682128906250e+01,2.320614433288574219e+01
1.800000000000000000e+01,7.848454266786575317e-02,8.739475250244140625e+01,2.421734237670898438e+01
1.900000000000000000e+01,7.220435142517089844e-02,8.565306854248046875e+01,2.449024963378906250e+01
2.000000000000000000e+01,7.109376043081283569e-02,8.879570770263671875e+01,2.419384956359863281e+01
2.100000000000000000e+01,7.011014223098754883e-02,8.781717681884765625e+01,2.433025169372558594e+01
2.200000000000000000e+01,6.790275871753692627e-02,8.701207733154296875e+01,2.460023880004882812e+01
2.300000000000000000e+01,6.472828239202499390e-02,8.764363861083984375e+01,2.487922477722167969e+01
2.400000000000000000e+01,6.059278920292854309e-02,8.981561279296875000e+01,2.550883674621582031e+01
2.500000000000000000e+01,5.426805093884468079e-02,8.995151519775390625e+01,2.579097366333007812e+01
2.600000000000000000e+01,4.687905311584472656e-02,9.338663482666015625e+01,2.693719291687011719e+01
2.700000000000000000e+01,5.568690598011016846e-02,9.009022521972656250e+01,2.651518630981445312e+01
2.800000000000000000e+01,4.447007179260253906e-02,9.245699310302734375e+01,2.681843376159667969e+01
2.900000000000000000e+01,4.612264782190322876e-02,8.997911071777343750e+01,2.672125053405761719e+01
3.000000000000000000e+01,4.263205081224441528e-02,9.140049743652343750e+01,2.677700233459472656e+01
3.100000000000000000e+01,4.219488427042961121e-02,9.094516754150390625e+01,2.666879081726074219e+01
3.200000000000000000e+01,4.183657467365264893e-02,9.080054473876953125e+01,2.675758361816406250e+01
3.300000000000000000e+01,4.083571583032608032e-02,9.099058532714843750e+01,2.689432716369628906e+01
3.400000000000000000e+01,3.854972496628761292e-02,9.151105499267578125e+01,2.715005493164062500e+01
3.500000000000000000e+01,3.749774396419525146e-02,9.263723754882812500e+01,2.729553222656250000e+01
3.600000000000000000e+01,3.721255064010620117e-02,9.248493957519531250e+01,2.722876739501953125e+01
3.700000000000000000e+01,3.685938939452171326e-02,9.262380981445312500e+01,2.717708015441894531e+01
3.800000000000000000e+01,3.671266138553619385e-02,9.255789184570312500e+01,2.722515487670898438e+01
3.900000000000000000e+01,3.647201135754585266e-02,9.259655761718750000e+01,2.726123619079589844e+01
4.000000000000000000e+01,3.590244054794311523e-02,9.270777893066406250e+01,2.737484550476074219e+01
4.100000000000000000e+01,3.555531427264213562e-02,9.256476593017578125e+01,2.742791557312011719e+01
4.200000000000000000e+01,3.511133417487144470e-02,9.224847412109375000e+01,2.760197830200195312e+01
4.300000000000000000e+01,3.482868894934654236e-02,9.195105743408203125e+01,2.776494979858398438e+01
4.400000000000000000e+01,3.448401018977165222e-02,9.153889465332031250e+01,2.806742858886718750e+01
4.500000000000000000e+01,3.405699506402015686e-02,9.108625030517578125e+01,2.834506034851074219e+01
4.600000000000000000e+01,3.357156738638877869e-02,9.052689361572265625e+01,2.898131942749023438e+01
4.700000000000000000e+01,3.304554522037506104e-02,9.031316375732421875e+01,2.906995964050292969e+01
4.800000000000000000e+01,3.276498615741729736e-02,8.965963745117187500e+01,2.921234321594238281e+01
4.900000000000000000e+01,3.250213339924812317e-02,8.887355041503906250e+01,2.927779579162597656e+01
5.000000000000000000e+01,3.220213949680328369e-02,8.708038330078125000e+01,2.925755691528320312e+01
5.100000000000000000e+01,3.199709206819534302e-02,8.701707458496093750e+01,2.914716339111328125e+01
5.200000000000000000e+01,3.195427358150482178e-02,8.704879760742187500e+01,2.913739967346191406e+01
5.300000000000000000e+01,3.192330896854400635e-02,8.697454833984375000e+01,2.905301094055175781e+01
5.400000000000000000e+01,3.185104951262474060e-02,8.681148529052734375e+01,2.908253288269042969e+01
5.500000000000000000e+01,3.152619674801826477e-02,8.606138610839843750e+01,2.922404670715332031e+01
5.600000000000000000e+01,3.110811114311218262e-02,8.497075653076171875e+01,2.941817665100097656e+01
5.700000000000000000e+01,3.059363365173339844e-02,8.446442413330078125e+01,2.975139236450195312e+01
5.800000000000000000e+01,2.975818142294883728e-02,8.371138763427734375e+01,3.053958511352539062e+01
5.900000000000000000e+01,2.919310703873634338e-02,8.352905273437500000e+01,3.131977272033691406e+01
6.000000000000000000e+01,2.899177931249141693e-02,8.218128204345703125e+01,3.213238525390625000e+01
6.100000000000000000e+01,2.867739088833332062e-02,8.272796630859375000e+01,3.180392646789550781e+01
6.200000000000000000e+01,2.784158848226070404e-02,8.115674591064453125e+01,3.237811279296875000e+01
6.300000000000000000e+01,2.785208448767662048e-02,8.096826934814453125e+01,3.210483932495117188e+01
6.400000000000000000e+01,2.759537845849990845e-02,8.106356048583984375e+01,3.224312973022460938e+01
6.500000000000000000e+01,2.745111472904682159e-02,8.042479705810546875e+01,3.239929580688476562e+01
6.600000000000000000e+01,2.739469148218631744e-02,8.077753448486328125e+01,3.230620193481445312e+01
6.700000000000000000e+01,2.733488194644451141e-02,8.093009948730468750e+01,3.231152725219726562e+01
6.800000000000000000e+01,2.723109908401966095e-02,8.106083679199218750e+01,3.234031677246093750e+01
6.900000000000000000e+01,2.690783888101577759e-02,8.089189910888671875e+01,3.262787246704101562e+01
7.000000000000000000e+01,2.669771201908588409e-02,8.052288818359375000e+01,3.306834030151367188e+01
7.100000000000000000e+01,2.638309448957443237e-02,8.010415649414062500e+01,3.307564926147460938e+01
7.200000000000000000e+01,2.626154012978076935e-02,7.990048217773437500e+01,3.293880081176757812e+01
7.300000000000000000e+01,2.610596455633640289e-02,7.927767944335937500e+01,3.313141632080078125e+01
7.400000000000000000e+01,2.605655603110790253e-02,7.903977966308593750e+01,3.317715072631835938e+01
7.500000000000000000e+01,2.601335570216178894e-02,7.857960510253906250e+01,3.326913833618164062e+01
7.600000000000000000e+01,2.596805244684219360e-02,7.827833557128906250e+01,3.327638626098632812e+01
7.700000000000000000e+01,2.587840147316455841e-02,7.773007965087890625e+01,3.329732894897460938e+01
7.800000000000000000e+01,2.571051381528377533e-02,7.700261688232421875e+01,3.332066345214843750e+01
7.900000000000000000e+01,2.526604570448398590e-02,7.531726837158203125e+01,3.350031661987304688e+01
8.000000000000000000e+01,2.475357241928577423e-02,7.319511413574218750e+01,3.369444656372070312e+01
8.100000000000000000e+01,2.447105757892131805e-02,7.299919128417968750e+01,3.403512954711914062e+01
8.200000000000000000e+01,2.401761338114738464e-02,7.468929290771484375e+01,3.374906539916992188e+01
8.300000000000000000e+01,2.377466484904289246e-02,7.495568847656250000e+01,3.389542388916015625e+01
8.400000000000000000e+01,2.360696345567703247e-02,7.529782867431640625e+01,3.400367355346679688e+01
8.500000000000000000e+01,2.353009954094886780e-02,7.570864105224609375e+01,3.406434631347656250e+01
8.600000000000000000e+01,2.344671823084354401e-02,7.561260986328125000e+01,3.414113998413085938e+01
8.700000000000000000e+01,2.322397008538246155e-02,7.546212768554687500e+01,3.424701309204101562e+01
8.800000000000000000e+01,2.273275144398212433e-02,7.473348236083984375e+01,3.435775756835937500e+01
8.900000000000000000e+01,2.233387902379035950e-02,7.330455017089843750e+01,3.439940643310546875e+01
9.000000000000000000e+01,2.197365835309028625e-02,7.271983337402343750e+01,3.405591964721679688e+01
9.100000000000000000e+01,2.166186645627021790e-02,7.254233551025390625e+01,3.395676422119140625e+01
9.200000000000000000e+01,2.155757136642932892e-02,7.196089172363281250e+01,3.411758804321289062e+01
9.300000000000000000e+01,2.151746116578578949e-02,7.190717315673828125e+01,3.413545608520507812e+01
9.400000000000000000e+01,2.143449522554874420e-02,7.170530700683593750e+01,3.416541290283203125e+01
9.500000000000000000e+01,2.122027426958084106e-02,7.116217041015625000e+01,3.426958465576171875e+01
9.600000000000000000e+01,2.086691930890083313e-02,7.053047180175781250e+01,3.432961273193359375e+01
9.700000000000000000e+01,2.033706568181514740e-02,6.866892242431640625e+01,3.451807022094726562e+01
9.800000000000000000e+01,2.005235850811004639e-02,6.857551574707031250e+01,3.447225189208984375e+01
9.900000000000000000e+01,1.960714533925056458e-02,6.828041076660156250e+01,3.421458816528320312e+01
1.000000000000000000e+02,1.950943656265735626e-02,6.848928833007812500e+01,3.427319335937500000e+01
1.010000000000000000e+02,1.932759210467338562e-02,6.784780883789062500e+01,3.434182357788085938e+01
1.020000000000000000e+02,1.926685124635696411e-02,6.780154418945312500e+01,3.433023071289062500e+01
1.030000000000000000e+02,1.916308328509330750e-02,6.740007781982421875e+01,3.432563018798828125e+01
1.040000000000000000e+02,1.892845332622528076e-02,6.659145355224609375e+01,3.429916381835937500e+01
1.050000000000000000e+02,1.871392503380775452e-02,6.479177856445312500e+01,3.415021133422851562e+01
1.060000000000000000e+02,1.843135803937911987e-02,6.459326934814453125e+01,3.409194183349609375e+01
1.070000000000000000e+02,1.820103451609611511e-02,6.381844711303710938e+01,3.410089492797851562e+01
1.080000000000000000e+02,1.805325224995613098e-02,6.337562942504882812e+01,3.404019546508789062e+01
1.090000000000000000e+02,1.796708628535270691e-02,6.255464553833007812e+01,3.398299407958984375e+01
1.100000000000000000e+02,1.787644624710083008e-02,6.196715164184570312e+01,3.390345764160156250e+01
1.110000000000000000e+02,1.770005188882350922e-02,6.095397567749023438e+01,3.392157745361328125e+01
1.120000000000000000e+02,1.726399548351764679e-02,5.920282745361328125e+01,3.383064651489257812e+01
1.130000000000000000e+02,1.690959557890892029e-02,5.878694152832031250e+01,3.379090499877929688e+01
1.140000000000000000e+02,1.655764132738113403e-02,5.913071060180664062e+01,3.357473754882812500e+01
1.150000000000000000e+02,1.647350750863552094e-02,5.914788055419921875e+01,3.341071319580078125e+01
1.160000000000000000e+02,1.646638661623001099e-02,6.003665161132812500e+01,3.334025192260742188e+01
1.170000000000000000e+02,1.638380065560340881e-02,5.996086120605468750e+01,3.339163208007812500e+01
1.180000000000000000e+02,1.635380834341049194e-02,5.961042785644531250e+01,3.340077209472656250e+01
1.190000000000000000e+02,1.629454642534255981e-02,5.947945022583007812e+01,3.339937591552734375e+01
1.200000000000000000e+02,1.670450717210769653e-02,5.887656784057617188e+01,3.345724868774414062e+01
1.210000000000000000e+02,1.621906645596027374e-02,5.922639465332031250e+01,3.342366790771484375e+01
1.220000000000000000e+02,1.615827158093452454e-02,5.935225677490234375e+01,3.344055175781250000e+01
1.230000000000000000e+02,1.606443338096141815e-02,5.907473754882812500e+01,3.343385696411132812e+01
1.240000000000000000e+02,1.595651730895042419e-02,5.872574996948242188e+01,3.343605041503906250e+01
1.250000000000000000e+02,1.584086567163467407e-02,5.775983428955078125e+01,3.339699935913085938e+01
1.260000000000000000e+02,1.576983183622360229e-02,5.762905883789062500e+01,3.332327651977539062e+01
1.270000000000000000e+02,1.572798751294612885e-02,5.764937591552734375e+01,3.333423995971679688e+01
1.280000000000000000e+02,1.570024527609348297e-02,5.752698135375976562e+01,3.331342315673828125e+01
1.290000000000000000e+02,1.566440798342227936e-02,5.748536682128906250e+01,3.326688003540039062e+01
1.300000000000000000e+02,1.556655764579772949e-02,5.731867599487304688e+01,3.319674682617187500e+01
1.310000000000000000e+02,1.535942684859037399e-02,5.682419967651367188e+01,3.302600860595703125e+01
1.320000000000000000e+02,1.507596578449010849e-02,5.586243820190429688e+01,3.291420745849609375e+01
1.330000000000000000e+02,1.489436440169811249e-02,5.488354110717773438e+01,3.290483474731445312e+01
1.340000000000000000e+02,1.475392095744609833e-02,5.483296966552734375e+01,3.297585678100585938e+01
1.350000000000000000e+02,1.466283947229385376e-02,5.450561523437500000e+01,3.296166229248046875e+01
1.360000000000000000e+02,1.461979374289512634e-02,5.403178787231445312e+01,3.296444320678710938e+01
1.370000000000000000e+02,1.458834577351808548e-02,5.389348220825195312e+01,3.301968383789062500e+01
1.380000000000000000e+02,1.455142907798290253e-02,5.373541259765625000e+01,3.299425888061523438e+01
1.390000000000000000e+02,1.441659778356552124e-02,5.307776260375976562e+01,3.292018890380859375e+01
1.400000000000000000e+02,1.392471045255661011e-02,5.024901580810546875e+01,3.238198471069335938e+01
1.410000000000000000e+02,1.439716480672359467e-02,4.695610809326171875e+01,3.161069679260253906e+01
1.420000000000000000e+02,1.367638912051916122e-02,4.898343658447265625e+01,3.208657455444335938e+01
1.430000000000000000e+02,1.331958360970020294e-02,4.953512573242187500e+01,3.190206527709960938e+01
1.440000000000000000e+02,1.323246303945779800e-02,4.880276870727539062e+01,3.153858757019042969e+01
1.450000000000000000e+02,1.305682025849819183e-02,4.993704605102539062e+01,3.157070922851562500e+01
1.460000000000000000e+02,1.303844340145587921e-02,5.005533599853515625e+01,3.152422332763671875e+01
1.470000000000000000e+02,1.294188760221004486e-02,4.944629669189453125e+01,3.151227188110351562e+01
1.480000000000000000e+02,1.285979896783828735e-02,4.921755981445312500e+01,3.146446990966796875e+01
1.490000000000000000e+02,1.269953139126300812e-02,4.875068664550781250e+01,3.134802818298339844e+01
1.500000000000000000e+02,1.252660155296325684e-02,4.753247070312500000e+01,3.106296348571777344e+01
1.510000000000000000e+02,1.241625566035509109e-02,4.795309448242187500e+01,3.116151428222656250e+01
1.520000000000000000e+02,1.219195313751697540e-02,4.835306549072265625e+01,3.112227058410644531e+01
1.530000000000000000e+02,1.206100918352603912e-02,4.862524414062500000e+01,3.108186721801757812e+01
1.540000000000000000e+02,1.198805496096611023e-02,4.849877929687500000e+01,3.111383056640625000e+01
1.550000000000000000e+02,1.195019856095314026e-02,4.886279678344726562e+01,3.117789268493652344e+01
1.560000000000000000e+02,1.190357934683561325e-02,4.885460281372070312e+01,3.115747642517089844e+01
1.570000000000000000e+02,1.183031406253576279e-02,4.846789932250976562e+01,3.109753990173339844e+01
1.580000000000000000e+02,1.175726298242807388e-02,4.829895401000976562e+01,3.107946777343750000e+01
1.590000000000000000e+02,1.164396107196807861e-02,4.771714782714843750e+01,3.090473747253417969e+01
1.600000000000000000e+02,1.154848933219909668e-02,4.784791946411132812e+01,3.085012435913085938e+01
1.610000000000000000e+02,1.148196868598461151e-02,4.783665084838867188e+01,3.063847732543945312e+01
1.620000000000000000e+02,1.143929176032543182e-02,4.790374755859375000e+01,3.048633384704589844e+01
1.630000000000000000e+02,1.139860413968563080e-02,4.794381332397460938e+01,3.039365768432617188e+01
1.640000000000000000e+02,1.128251012414693832e-02,4.784243011474609375e+01,3.011563110351562500e+01
1.650000000000000000e+02,1.110618840903043747e-02,4.772949981689453125e+01,2.971402931213378906e+01
1.660000000000000000e+02,1.093716360628604889e-02,4.736630249023437500e+01,2.934463691711425781e+01
1.670000000000000000e+02,1.079258508980274200e-02,4.726240539550781250e+01,2.924929046630859375e+01
1.680000000000000000e+02,1.073072850704193115e-02,4.672153472900390625e+01,2.918732833862304688e+01
1.690000000000000000e+02,1.070831622928380966e-02,4.635374450683593750e+01,2.921473693847656250e+01
1.700000000000000000e+02,1.069550309330224991e-02,4.623517990112304688e+01,2.920275688171386719e+01
1.710000000000000000e+02,1.068202685564756393e-02,4.606199264526367188e+01,2.914263534545898438e+01
1.720000000000000000e+02,1.067165471613407135e-02,4.598448944091796875e+01,2.909396553039550781e+01
1.730000000000000000e+02,1.065746322274208069e-02,4.592267990112304688e+01,2.901229858398437500e+01
1.740000000000000000e+02,1.060182787477970123e-02,4.584367370605468750e+01,2.879057884216308594e+01
1.750000000000000000e+02,1.048514712601900101e-02,4.533324813842773438e+01,2.821990013122558594e+01
1.760000000000000000e+02,1.030734926462173462e-02,4.485673141479492188e+01,2.752402114868164062e+01
1.770000000000000000e+02,1.016305014491081238e-02,4.361821365356445312e+01,2.660508155822753906e+01
1.780000000000000000e+02,1.007202081382274628e-02,4.281765747070312500e+01,2.652367019653320312e+01
1.790000000000000000e+02,9.984692558646202087e-03,4.325119400024414062e+01,2.666836738586425781e+01
1.800000000000000000e+02,9.967090561985969543e-03,4.291073608398437500e+01,2.670119476318359375e+01
1.810000000000000000e+02,9.942091070115566254e-03,4.269169998168945312e+01,2.667892837524414062e+01
1.820000000000000000e+02,9.928739629685878754e-03,4.261886596679687500e+01,2.674103164672851562e+01
1.830000000000000000e+02,9.910732507705688477e-03,4.242994308471679688e+01,2.679274368286132812e+01
1.840000000000000000e+02,9.866700507700443268e-03,4.219805526733398438e+01,2.684641838073730469e+01
1.850000000000000000e+02,9.809962473809719086e-03,4.198830032348632812e+01,2.681148338317871094e+01
1.860000000000000000e+02,9.711597114801406860e-03,4.179199981689453125e+01,2.663850212097167969e+01
1.870000000000000000e+02,9.541365318000316620e-03,4.184075546264648438e+01,2.627920150756835938e+01
1.880000000000000000e+02,9.378336369991302490e-03,4.216249084472656250e+01,2.588188552856445312e+01
1.890000000000000000e+02,9.266160428524017334e-03,4.237235260009765625e+01,2.546456146240234375e+01
1.900000000000000000e+02,9.198609739542007446e-03,4.226427841186523438e+01,2.486446571350097656e+01
1.910000000000000000e+02,9.228084236383438110e-03,4.212728881835937500e+01,2.448215293884277344e+01
1.920000000000000000e+02,9.164755232632160187e-03,4.220629882812500000e+01,2.470289230346679688e+01
1.930000000000000000e+02,9.135236963629722595e-03,4.197215270996093750e+01,2.428975677490234375e+01
1.940000000000000000e+02,9.108780883252620697e-03,4.191655349731445312e+01,2.396385574340820312e+01
1.950000000000000000e+02,9.086804464459419250e-03,4.175555038452148438e+01,2.366673660278320312e+01
1.960000000000000000e+02,9.060557931661605835e-03,4.173874282836914062e+01,2.338696861267089844e+01
1.970000000000000000e+02,9.030423127114772797e-03,4.148452758789062500e+01,2.285648345947265625e+01
1.980000000000000000e+02,8.973710238933563232e-03,4.134321975708007812e+01,2.252726173400878906e+01
1.990000000000000000e+02,8.890284225344657898e-03,4.072303771972656250e+01,2.168517112731933594e+01
2.000000000000000000e+02,8.742108941078186035e-03,3.960094451904296875e+01,2.105882263183593750e+01
2.010000000000000000e+02,8.605928160250186920e-03,3.839854049682617188e+01,2.071738433837890625e+01
2.020000000000000000e+02,8.583878166973590851e-03,3.686385726928710938e+01,2.016034889221191406e+01
2.030000000000000000e+02,8.525208570063114166e-03,3.751434707641601562e+01,2.039691734313964844e+01
2.040000000000000000e+02,8.419871330261230469e-03,3.657891082763671875e+01,1.982683944702148438e+01
2.050000000000000000e+02,9.088966064155101776e-03,3.621551895141601562e+01,2.150204849243164062e+01
2.060000000000000000e+02,8.330555632710456848e-03,3.648698425292968750e+01,2.025394630432128906e+01
2.070000000000000000e+02,8.229382336139678955e-03,3.600152587890625000e+01,2.026622772216796875e+01
