Iter,Loss,ErrorLambda1,ErrorLambda2
1.000000000000000000e+00,3.337640762329101562e-01,1.000000000000000000e+02,2.212770308849790979e+01
2.000000000000000000e+00,2.972930967807769775e-01,1.000001165498815681e+02,2.212770308849790979e+01
3.000000000000000000e+00,2.198626846075057983e-01,1.000159770235768519e+02,2.212763725718669505e+01
4.000000000000000000e+00,2.276150137186050415e-01,1.002162953838706017e+02,2.212599878899645489e+01
5.000000000000000000e+00,2.120116800069808960e-01,1.000969302433077246e+02,2.212696431489427695e+01
6.000000000000000000e+00,2.103452682495117188e-01,1.001685016090050340e+02,2.212637183309334077e+01
7.000000000000000000e+00,1.923721283674240112e-01,1.011831541545689106e+02,2.211779913345513648e+01
8.000000000000000000e+00,1.775756180286407471e-01,1.040600623935461044e+02,2.209331720027333290e+01
9.000000000000000000e+00,1.535855680704116821e-01,1.040977455675601959e+02,2.209877388451403490e+01
1.000000000000000000e+01,1.253212392330169678e-01,1.055880021303892136e+02,2.210248969630260873e+01
1.100000000000000000e+01,1.092050671577453613e-01,1.079405240714550018e+02,2.211255457232834942e+01
1.200000000000000000e+01,9.900611639022827148e-02,1.077291093766689301e+02,2.222189306566614775e+01
1.300000000000000000e+01,9.443466365337371826e-02,1.056577563285827637e+02,2.244572683838691063e+01
1.400000000000000000e+01,8.471669256687164307e-02,9.729183465242385864e+01,2.326097448188198058e+01
1.500000000000000000e+01,8.032898604869842529e-02,8.633673489093780518e+01,2.435694878016774823e+01
1.600000000000000000e+01,7.412758469581604004e-02,8.863238990306854248e+01,2.422713674904212056e+01
1.700000000000000000e+01,7.182842493057250977e-02,8.977995365858078003e+01,2.410338851313839470e+01
1.800000000000000000e+01,7.056894898414611816e-02,8.750546425580978394e+01,2.433540731222020881e+01
1.900000000000000000e+01,6.937250494956970215e-02,8.776301592588424683e+01,2.435770949754178361e+01
2.000000000000000000e+01,6.706070154905319214e-02,8.896281123161315918e+01,2.440220414933291693e+01
2.100000000000000000e+01,6.437177211046218872e-02,9.004433751106262207e+01,2.455093171054762280e+01
2.200000000000000000e+01,5.895387381315231323e-02,9.180026054382324219e+01,2.510944455489475402e+01
2.300000000000000000e+01,5.112908035516738892e-02,9.177669584751129150e+01,2.548226189948494635e+01
2.400000000000000000e+01,4.748940095305442810e-02,9.189966470003128052e+01,2.584099134347516014e+01
2.500000000000000000e+01,4.617000743746757507e-02,9.021980911493301392e+01,2.564362175786278186e+01
2.600000000000000000e+01,4.395261406898498535e-02,9.047686606645584106e+01,2.581021886277726907e+01
2.700000000000000000e+01,4.325597733259201050e-02,9.163860455155372620e+01,2.575954338232207164e+01
2.800000000000000000e+01,4.268037900328636169e-02,9.100427031517028809e+01,2.583819717004359262e+01
2.900000000000000000e+01,4.151577129960060120e-02,9.053355827927589417e+01,2.598840959305570664e+01
3.000000000000000000e+01,4.033276811242103577e-02,9.055262506008148193e+01,2.608321399579527977e+01
3.100000000000000000e+01,3.833601996302604675e-02,9.104732498526573181e+01,2.623556227912680683e+01
3.200000000000000000e+01,3.738908097147941589e-02,9.230112805962562561e+01,2.613856349934673418e+01
3.300000000000000000e+01,3.686931356787681580e-02,9.296115860342979431e+01,2.605994628457588647e+01
3.400000000000000000e+01,3.657391667366027832e-02,9.307049065828323364e+01,2.609624859541582609e+01
3.500000000000000000e+01,3.614277392625808716e-02,9.293863773345947266e+01,2.612261037826232268e+01
3.600000000000000000e+01,3.529643639922142029e-02,9.275779277086257935e+01,2.625283202643551306e+01
3.700000000000000000e+01,3.455175831913948059e-02,9.239265397191047668e+01,2.636509635582730482e+01
3.800000000000000000e+01,3.396011143922805786e-02,9.238946735858917236e+01,2.653050118254978784e+01
3.900000000000000000e+01,3.355917707085609436e-02,9.264930263161659241e+01,2.664675196356514775e+01
4.000000000000000000e+01,3.339898213744163513e-02,9.317795038223266602e+01,2.681891547157235678e+01
4.100000000000000000e+01,3.318958356976509094e-02,9.311793074011802673e+01,2.686639447613855936e+01
4.200000000000000000e+01,3.306648507714271545e-02,9.293873384594917297e+01,2.693290604423600954e+01
4.300000000000000000e+01,3.282652422785758972e-02,9.259828999638557434e+01,2.711114066205525575e+01
4.400000000000000000e+01,3.221574053168296814e-02,9.168542250990867615e+01,2.739354235798686688e+01
4.500000000000000000e+01,3.120126575231552124e-02,8.994533792138099670e+01,2.769357221614379583e+01
4.600000000000000000e+01,3.099540621042251587e-02,8.733047842979431152e+01,2.785303759567666759e+01
4.700000000000000000e+01,3.047543205320835114e-02,8.844256550073623657e+01,2.778526060348587379e+01
4.800000000000000000e+01,3.031728044152259827e-02,8.773385286331176758e+01,2.768823256534525612e+01
4.900000000000000000e+01,3.017789497971534729e-02,8.797477856278419495e+01,2.767312793671650795e+01
5.000000000000000000e+01,3.015202656388282776e-02,8.794848546385765076e+01,2.767919904652854513e+01
5.100000000000000000e+01,3.012829832732677460e-02,8.793096393346786499e+01,2.764076818995932072e+01
5.200000000000000000e+01,3.007777407765388489e-02,8.790459558367729187e+01,2.760059646093796459e+01
5.300000000000000000e+01,2.987822331488132477e-02,8.778255581855773926e+01,2.753950500413055025e+01
5.400000000000000000e+01,2.931618504226207733e-02,8.721125274896621704e+01,2.753908075790271681e+01
5.500000000000000000e+01,2.874804474413394928e-02,8.673878163099288940e+01,2.761971679955082593e+01
5.600000000000000000e+01,2.812298014760017395e-02,8.595544993877410889e+01,2.788193022670987276e+01
5.700000000000000000e+01,2.817693725228309631e-02,8.639931082725524902e+01,2.815417927153411881e+01
5.800000000000000000e+01,2.769309654831886292e-02,8.617180287837982178e+01,2.801478512733165260e+01
5.900000000000000000e+01,2.717043273150920868e-02,8.536723554134368896e+01,2.839164744026649956e+01
6.000000000000000000e+01,2.685853093862533569e-02,8.365914374589920044e+01,2.873728376791507699e+01
6.100000000000000000e+01,2.664750255644321442e-02,8.250999301671981812e+01,2.893602849647283293e+01
6.200000000000000000e+01,2.653029561042785645e-02,8.228306174278259277e+01,2.883165660983669198e+01
6.300000000000000000e+01,2.642589434981346130e-02,8.191283643245697021e+01,2.890748696576611110e+01
