Iter,Loss,ErrorLambda1,ErrorLambda2
1.000000000000000000e+00,2.288441807031631470e-01,1.000000000000000000e+02,2.212770308849790979e+01
2.000000000000000000e+00,2.049492746591567993e-01,1.000001649215619182e+02,2.212770308849790979e+01
3.000000000000000000e+00,1.918383091688156128e-01,1.000062037637690082e+02,2.212767383013737188e+01
4.000000000000000000e+00,1.904840320348739624e-01,1.000308942573610693e+02,2.212744707784318621e+01
5.000000000000000000e+00,1.890665292739868164e-01,1.000784537522122264e+02,2.212692774194360013e+01
6.000000000000000000e+00,1.789208054542541504e-01,1.004271239042282104e+02,2.212310221130300292e+01
7.000000000000000000e+00,1.564854085445404053e-01,1.019978828728199005e+02,2.210583246399429669e+01
8.000000000000000000e+00,1.401441544294357300e-01,1.021417297422885895e+02,2.210145102450343657e+01
9.000000000000000000e+00,1.328599452972412109e-01,1.027042564004659653e+02,2.209138614847769588e+01
1.000000000000000000e+01,1.234018802642822266e-01,1.030448338016867638e+02,2.207206831593119389e+01
1.100000000000000000e+01,1.171921193599700928e-01,1.033273901790380478e+02,2.206106717236816905e+01
1.200000000000000000e+01,1.079070866107940674e-01,1.036032207310199738e+02,2.203951107524036246e+01
1.300000000000000000e+01,9.457035362720489502e-02,1.042258795350790024e+02,2.199101534264539382e+01
1.400000000000000000e+01,7.961434125900268555e-02,1.050423678010702133e+02,2.194122492759652943e+01
1.500000000000000000e+01,1.105359867215156555e-01,1.035302769392728806e+02,2.198803830446045282e+01
1.600000000000000000e+01,7.463325560092926025e-02,1.045033529400825500e+02,2.195790219310429947e+01
1.700000000000000000e+01,7.082245498895645142e-02,1.037104666233062744e+02,2.199655248737757773e+01
1.800000000000000000e+01,6.209446117281913757e-02,1.016425967216491699e+02,2.208555642014010800e+01
1.900000000000000000e+01,4.488885775208473206e-02,9.626125469803810120e+01,2.231707051250261031e+01
2.000000000000000000e+01,4.793160408735275269e-02,9.360842928290367126e+01,2.243366507925431819e+01
2.100000000000000000e+01,3.904975578188896179e-02,9.500451982021331787e+01,2.237231761179217315e+01
2.200000000000000000e+01,7.056584954261779785e-02,9.368018507957458496e+01,2.243851465251381327e+01
2.300000000000000000e+01,3.648289293050765991e-02,9.470080509781837463e+01,2.238749538632227143e+01
2.400000000000000000e+01,3.396686166524887085e-02,9.372534230351448059e+01,2.243799531661422719e+01
2.500000000000000000e+01,3.417465463280677795e-02,9.356854632496833801e+01,2.246994544632385526e+01
2.600000000000000000e+01,3.284264728426933289e-02,9.364877268671989441e+01,2.245359733737215890e+01
2.700000000000000000e+01,3.189863264560699463e-02,9.224149435758590698e+01,2.256611036282853888e+01
2.800000000000000000e+01,2.993577346205711365e-02,9.282792210578918457e+01,2.251924578383367503e+01
2.900000000000000000e+01,2.573749795556068420e-02,9.249641224741935730e+01,2.258032992605095757e+01
3.000000000000000000e+01,1.928837597370147705e-02,9.381587505340576172e+01,2.268470181268709851e+01
3.100000000000000000e+01,1.886839233338832855e-02,9.473971351981163025e+01,2.264733888627758063e+01
3.200000000000000000e+01,1.705480925738811493e-02,9.629977717995643616e+01,2.254908931158442442e+01
3.300000000000000000e+01,1.615962758660316467e-02,9.703778401017189026e+01,2.254078725178121445e+01
3.400000000000000000e+01,1.576938107609748840e-02,9.785027522593736649e+01,2.252445377200978527e+01
