Iter,Loss,L2
1.000000000000000000e+00,2.193538993597030640e-01,9.393867850303649902e-01
2.000000000000000000e+00,1.961567699909210205e-01,8.948421478271484375e-01
3.000000000000000000e+00,1.861954182386398315e-01,8.551034331321716309e-01
4.000000000000000000e+00,1.855194270610809326e-01,8.495599031448364258e-01
5.000000000000000000e+00,1.835942417383193970e-01,8.401001095771789551e-01
6.000000000000000000e+00,1.789495944976806641e-01,8.244522213935852051e-01
7.000000000000000000e+00,1.719247400760650635e-01,8.065060973167419434e-01
8.000000000000000000e+00,1.604177206754684448e-01,7.702871561050415039e-01
9.000000000000000000e+00,1.440407782793045044e-01,6.025509238243103027e-01
1.000000000000000000e+01,1.332449913024902344e-01,6.481640338897705078e-01
1.100000000000000000e+01,1.298780739307403564e-01,6.603444814682006836e-01
1.200000000000000000e+01,1.287977248430252075e-01,6.742624640464782715e-01
1.300000000000000000e+01,1.272882521152496338e-01,6.757711172103881836e-01
1.400000000000000000e+01,1.236400008201599121e-01,6.724597811698913574e-01
1.500000000000000000e+01,1.197129040956497192e-01,6.598679423332214355e-01
1.600000000000000000e+01,1.157715842127799988e-01,6.469587683677673340e-01
1.700000000000000000e+01,1.139724254608154297e-01,6.486250758171081543e-01
1.800000000000000000e+01,1.124297082424163818e-01,6.643667221069335938e-01
1.900000000000000000e+01,1.107575818896293640e-01,6.902846693992614746e-01
2.000000000000000000e+01,1.094670072197914124e-01,6.895339488983154297e-01
2.100000000000000000e+01,1.061900779604911804e-01,6.693042516708374023e-01
2.200000000000000000e+01,1.033342927694320679e-01,6.485753059387207031e-01
2.300000000000000000e+01,9.882918000221252441e-02,6.028707027435302734e-01
2.400000000000000000e+01,9.699146449565887451e-02,5.802346467971801758e-01
2.500000000000000000e+01,9.556279331445693970e-02,5.959865450859069824e-01
2.600000000000000000e+01,9.490545094013214111e-02,6.090890169143676758e-01
2.700000000000000000e+01,9.417369961738586426e-02,5.990976095199584961e-01
2.800000000000000000e+01,9.371975809335708618e-02,5.958351492881774902e-01
2.900000000000000000e+01,9.284313768148422241e-02,5.893345475196838379e-01
3.000000000000000000e+01,9.169220924377441406e-02,5.965244770050048828e-01
3.100000000000000000e+01,8.991683274507522583e-02,5.915926694869995117e-01
3.200000000000000000e+01,8.658659458160400391e-02,5.694382786750793457e-01
3.300000000000000000e+01,8.427275717258453369e-02,5.472908020019531250e-01
3.400000000000000000e+01,8.248974382877349854e-02,5.361300110816955566e-01
3.500000000000000000e+01,8.097637444734573364e-02,5.484704375267028809e-01
3.600000000000000000e+01,8.007927238941192627e-02,5.566231012344360352e-01
3.700000000000000000e+01,7.978172600269317627e-02,5.679247379302978516e-01
3.800000000000000000e+01,7.940590381622314453e-02,5.611727237701416016e-01
3.900000000000000000e+01,7.916253060102462769e-02,5.607994794845581055e-01
4.000000000000000000e+01,7.890380173921585083e-02,5.596538186073303223e-01
4.100000000000000000e+01,7.789000868797302246e-02,5.578338503837585449e-01
