Iter,Loss,L2
0.000000000000000000e+00,2.451161891222000122e-01,8.641563653945922852e-01
1.000000000000000000e+00,2.158556282520294189e-01,8.191264867782592773e-01
2.000000000000000000e+00,2.124939560890197754e-01,8.018728494644165039e-01
3.000000000000000000e+00,2.126056104898452759e-01,8.001157641410827637e-01
4.000000000000000000e+00,2.125719338655471802e-01,8.039849996566772461e-01
5.000000000000000000e+00,2.127624005079269409e-01,8.074966669082641602e-01
6.000000000000000000e+00,2.106873542070388794e-01,8.091153502464294434e-01
7.000000000000000000e+00,2.063701152801513672e-01,8.092816472053527832e-01
8.000000000000000000e+00,2.017973959445953369e-01,8.089008927345275879e-01
9.000000000000000000e+00,1.985398232936859131e-01,8.086990118026733398e-01
1.000000000000000000e+01,1.968888044357299805e-01,8.089048862457275391e-01
1.100000000000000000e+01,1.961442381143569946e-01,8.092017173767089844e-01
1.200000000000000000e+01,1.954055577516555786e-01,8.089065551757812500e-01
1.300000000000000000e+01,1.941438913345336914e-01,8.072197437286376953e-01
1.400000000000000000e+01,1.922401040792465210e-01,8.034585118293762207e-01
1.500000000000000000e+01,1.897757202386856079e-01,7.972691655158996582e-01
1.600000000000000000e+01,1.869006007909774780e-01,7.887601852416992188e-01
1.700000000000000000e+01,1.838154345750808716e-01,7.784969210624694824e-01
1.800000000000000000e+01,1.807613372802734375e-01,7.673665881156921387e-01
1.900000000000000000e+01,1.779469102621078491e-01,7.563667893409729004e-01
2.000000000000000000e+01,1.754394024610519409e-01,7.463733553886413574e-01
2.100000000000000000e+01,1.731073111295700073e-01,7.379561066627502441e-01
2.200000000000000000e+01,1.706935316324234009e-01,7.313107848167419434e-01
2.300000000000000000e+01,1.679924726486206055e-01,7.262957096099853516e-01
2.400000000000000000e+01,1.649906039237976074e-01,7.224798798561096191e-01
2.500000000000000000e+01,1.618574559688568115e-01,7.191504240036010742e-01
2.600000000000000000e+01,1.588117778301239014e-01,7.153530120849609375e-01
2.700000000000000000e+01,1.559782773256301880e-01,7.100869417190551758e-01
2.800000000000000000e+01,1.533448696136474609e-01,7.026622295379638672e-01
2.900000000000000000e+01,1.508450657129287720e-01,6.930271387100219727e-01
3.000000000000000000e+01,1.484735310077667236e-01,6.818532943725585938e-01
3.100000000000000000e+01,1.463119834661483765e-01,6.703495383262634277e-01
3.200000000000000000e+01,1.444449275732040405e-01,6.599060893058776855e-01
3.300000000000000000e+01,1.428623050451278687e-01,6.517013907432556152e-01
3.400000000000000000e+01,1.414656341075897217e-01,6.463921666145324707e-01
3.500000000000000000e+01,1.401826292276382446e-01,6.439422965049743652e-01
3.600000000000000000e+01,1.390513926744461060e-01,6.435798406600952148e-01
3.700000000000000000e+01,1.381647288799285889e-01,6.439590454101562500e-01
3.800000000000000000e+01,1.375451385974884033e-01,6.436631083488464355e-01
3.900000000000000000e+01,1.371109485626220703e-01,6.418891549110412598e-01
4.000000000000000000e+01,1.367696821689605713e-01,6.388306021690368652e-01
4.100000000000000000e+01,1.364901512861251831e-01,6.354891061782836914e-01
4.200000000000000000e+01,1.362487375736236572e-01,6.330832242965698242e-01
4.300000000000000000e+01,1.359602957963943481e-01,6.324003934860229492e-01
4.400000000000000000e+01,1.355349421501159668e-01,6.334050297737121582e-01
4.500000000000000000e+01,1.349782347679138184e-01,6.352340579032897949e-01
4.600000000000000000e+01,1.343574821949005127e-01,6.366049051284790039e-01
4.700000000000000000e+01,1.336851269006729126e-01,6.365571618080139160e-01
4.800000000000000000e+01,1.329122781753540039e-01,6.350917816162109375e-01
4.900000000000000000e+01,1.320295929908752441e-01,6.331789493560791016e-01
5.000000000000000000e+01,1.310929507017135620e-01,6.321191787719726562e-01
5.100000000000000000e+01,1.301442235708236694e-01,6.327182650566101074e-01
5.200000000000000000e+01,1.291820257902145386e-01,6.347959637641906738e-01
5.300000000000000000e+01,1.282216012477874756e-01,6.372811198234558105e-01
5.400000000000000000e+01,1.273057162761688232e-01,6.388176679611206055e-01
5.500000000000000000e+01,1.264430284500122070e-01,6.385883092880249023e-01
5.600000000000000000e+01,1.256042420864105225e-01,6.368403434753417969e-01
5.700000000000000000e+01,1.247787848114967346e-01,6.346945166587829590e-01
5.800000000000000000e+01,1.239741593599319458e-01,6.333471536636352539e-01
5.900000000000000000e+01,1.231779158115386963e-01,6.332211494445800781e-01
6.000000000000000000e+01,1.223791986703872681e-01,6.336441636085510254e-01
6.100000000000000000e+01,1.215889826416969299e-01,6.333027482032775879e-01
6.200000000000000000e+01,1.207965090870857239e-01,6.312466859817504883e-01
6.300000000000000000e+01,1.199725568294525146e-01,6.277085542678833008e-01
6.400000000000000000e+01,1.191321834921836853e-01,6.239714622497558594e-01
6.500000000000000000e+01,1.183086931705474854e-01,6.213033199310302734e-01
6.600000000000000000e+01,1.174907162785530090e-01,6.198435425758361816e-01
6.700000000000000000e+01,1.166658997535705566e-01,6.184728145599365234e-01
6.800000000000000000e+01,1.158493012189865112e-01,6.159617900848388672e-01
6.900000000000000000e+01,1.150430068373680115e-01,6.124089360237121582e-01
7.000000000000000000e+01,1.142535880208015442e-01,6.093083024024963379e-01
7.100000000000000000e+01,1.134842783212661743e-01,6.079325079917907715e-01
7.200000000000000000e+01,1.127174198627471924e-01,6.077982187271118164e-01
7.300000000000000000e+01,1.119695305824279785e-01,6.072006821632385254e-01
7.400000000000000000e+01,1.112508699297904968e-01,6.054714322090148926e-01
7.500000000000000000e+01,1.105495840311050415e-01,6.039569377899169922e-01
7.600000000000000000e+01,1.098714321851730347e-01,6.040228009223937988e-01
7.700000000000000000e+01,1.092131882905960083e-01,6.048074364662170410e-01
7.800000000000000000e+01,1.085842698812484741e-01,6.043212413787841797e-01
7.900000000000000000e+01,1.079632863402366638e-01,6.025953292846679688e-01
8.000000000000000000e+01,1.073514372110366821e-01,6.015213131904602051e-01
8.100000000000000000e+01,1.067557781934738159e-01,6.013196110725402832e-01
8.200000000000000000e+01,1.061593070626258850e-01,6.000534296035766602e-01
8.300000000000000000e+01,1.055713295936584473e-01,5.974472761154174805e-01
8.400000000000000000e+01,1.049967333674430847e-01,5.955688357353210449e-01
8.500000000000000000e+01,1.044351160526275635e-01,5.945909619331359863e-01
8.600000000000000000e+01,1.038921475410461426e-01,5.926390290260314941e-01
8.700000000000000000e+01,1.033719703555107117e-01,5.903395414352416992e-01
8.800000000000000000e+01,1.028697043657302856e-01,5.895726084709167480e-01
8.900000000000000000e+01,1.023838967084884644e-01,5.890145897865295410e-01
9.000000000000000000e+01,1.019148305058479309e-01,5.874617695808410645e-01
9.100000000000000000e+01,1.014500856399536133e-01,5.868771076202392578e-01
9.200000000000000000e+01,1.009963750839233398e-01,5.871222019195556641e-01
9.300000000000000000e+01,1.005455926060676575e-01,5.862499475479125977e-01
9.400000000000000000e+01,1.001002565026283264e-01,5.857891440391540527e-01
9.500000000000000000e+01,9.966231882572174072e-02,5.860496163368225098e-01
9.600000000000000000e+01,9.923144429922103882e-02,5.849562287330627441e-01
9.700000000000000000e+01,9.880997240543365479e-02,5.843339562416076660e-01
9.800000000000000000e+01,9.839701652526855469e-02,5.841604471206665039e-01
9.900000000000000000e+01,9.799674898386001587e-02,5.824127197265625000e-01
1.000000000000000000e+02,9.760360419750213623e-02,5.816912651062011719e-01
1.010000000000000000e+02,9.722166508436203003e-02,5.806432962417602539e-01
1.020000000000000000e+02,9.684824943542480469e-02,5.789268612861633301e-01
1.030000000000000000e+02,9.648483246564865112e-02,5.784308314323425293e-01
1.040000000000000000e+02,9.612833708524703979e-02,5.765998959541320801e-01
1.050000000000000000e+02,9.578090906143188477e-02,5.763692855834960938e-01
1.060000000000000000e+02,9.544050693511962891e-02,5.748416185379028320e-01
1.070000000000000000e+02,9.510850906372070312e-02,5.749875307083129883e-01
1.080000000000000000e+02,9.478445351123809814e-02,5.732561349868774414e-01
1.090000000000000000e+02,9.446860104799270630e-02,5.744965076446533203e-01
1.100000000000000000e+02,9.416230022907257080e-02,5.713472962379455566e-01
1.110000000000000000e+02,9.386625885963439941e-02,5.753148794174194336e-01
1.120000000000000000e+02,9.359662979841232300e-02,5.672751665115356445e-01
1.130000000000000000e+02,9.339296817779541016e-02,5.805975794792175293e-01
1.140000000000000000e+02,9.340058267116546631e-02,5.587581992149353027e-01
1.150000000000000000e+02,9.369677305221557617e-02,5.889286398887634277e-01
1.160000000000000000e+02,9.393905103206634521e-02,5.600008368492126465e-01
1.170000000000000000e+02,9.279027581214904785e-02,5.691071748733520508e-01
1.180000000000000000e+02,9.210592508316040039e-02,5.798259973526000977e-01
1.190000000000000000e+02,9.236441552639007568e-02,5.601927042007446289e-01
1.200000000000000000e+02,9.187190234661102295e-02,5.703843235969543457e-01
1.210000000000000000e+02,9.147080034017562866e-02,5.732674002647399902e-01
1.220000000000000000e+02,9.154020994901657104e-02,5.633431077003479004e-01
1.230000000000000000e+02,9.090052545070648193e-02,5.667018294334411621e-01
1.240000000000000000e+02,9.070251882076263428e-02,5.697909593582153320e-01
1.250000000000000000e+02,9.080839157104492188e-02,5.668982863426208496e-01
1.260000000000000000e+02,9.017482399940490723e-02,5.615609884262084961e-01
1.270000000000000000e+02,9.002950787544250488e-02,5.691661238670349121e-01
1.280000000000000000e+02,8.989436179399490356e-02,5.684097409248352051e-01
1.290000000000000000e+02,8.947683870792388916e-02,5.583031773567199707e-01
1.300000000000000000e+02,8.945181965827941895e-02,5.698670744895935059e-01
1.310000000000000000e+02,8.907315135002136230e-02,5.668752193450927734e-01
1.320000000000000000e+02,8.875163644552230835e-02,5.588346123695373535e-01
1.330000000000000000e+02,8.869389444589614868e-02,5.684116482734680176e-01
1.340000000000000000e+02,8.833412826061248779e-02,5.645020008087158203e-01
1.350000000000000000e+02,8.815090358257293701e-02,5.619858503341674805e-01
1.360000000000000000e+02,8.791575580835342407e-02,5.629467964172363281e-01
1.370000000000000000e+02,8.754281699657440186e-02,5.650306344032287598e-01
1.380000000000000000e+02,8.740421384572982788e-02,5.617336630821228027e-01
1.390000000000000000e+02,8.714129775762557983e-02,5.586074590682983398e-01
1.400000000000000000e+02,8.687490224838256836e-02,5.663617849349975586e-01
1.410000000000000000e+02,8.671918511390686035e-02,5.566607117652893066e-01
1.420000000000000000e+02,8.641321212053298950e-02,5.605852603912353516e-01
1.430000000000000000e+02,8.616665750741958618e-02,5.592899322509765625e-01
1.440000000000000000e+02,8.595702052116394043e-02,5.591946840286254883e-01
1.450000000000000000e+02,8.565244823694229126e-02,5.545327663421630859e-01
1.460000000000000000e+02,8.543282747268676758e-02,5.599392056465148926e-01
1.470000000000000000e+02,8.521267026662826538e-02,5.541419982910156250e-01
1.480000000000000000e+02,8.493814617395401001e-02,5.555666685104370117e-01
1.490000000000000000e+02,8.473705500364303589e-02,5.536318421363830566e-01
1.500000000000000000e+02,8.453205972909927368e-02,5.569238662719726562e-01
1.510000000000000000e+02,8.431673049926757812e-02,5.468086600303649902e-01
1.520000000000000000e+02,8.422638475894927979e-02,5.620634555816650391e-01
1.530000000000000000e+02,8.430242538452148438e-02,5.406563878059387207e-01
1.540000000000000000e+02,8.464010059833526611e-02,5.675150156021118164e-01
1.550000000000000000e+02,8.519729971885681152e-02,5.379132032394409180e-01
1.560000000000000000e+02,8.483749628067016602e-02,5.589602589607238770e-01
1.570000000000000000e+02,8.340272307395935059e-02,5.511010289192199707e-01
1.580000000000000000e+02,8.294099569320678711e-02,5.386022925376892090e-01
1.590000000000000000e+02,8.356270194053649902e-02,5.624860525131225586e-01
1.600000000000000000e+02,8.342835307121276855e-02,5.414720177650451660e-01
1.610000000000000000e+02,8.241939544677734375e-02,5.405091047286987305e-01
1.620000000000000000e+02,8.234828710556030273e-02,5.590527057647705078e-01
1.630000000000000000e+02,8.274548500776290894e-02,5.365960597991943359e-01
1.640000000000000000e+02,8.209596574306488037e-02,5.421738028526306152e-01
1.650000000000000000e+02,8.160374313592910767e-02,5.535804629325866699e-01
1.660000000000000000e+02,8.190523087978363037e-02,5.343000888824462891e-01
1.670000000000000000e+02,8.167209476232528687e-02,5.435017943382263184e-01
1.680000000000000000e+02,8.113647997379302979e-02,5.479907989501953125e-01
1.690000000000000000e+02,8.116610348224639893e-02,5.332151055335998535e-01
1.700000000000000000e+02,8.117178827524185181e-02,5.440188050270080566e-01
1.710000000000000000e+02,8.078861981630325317e-02,5.424498319625854492e-01
1.720000000000000000e+02,8.058341592550277710e-02,5.329047441482543945e-01
1.730000000000000000e+02,8.062827587127685547e-02,5.436454415321350098e-01
1.740000000000000000e+02,8.046054840087890625e-02,5.372678041458129883e-01
1.750000000000000000e+02,8.015796542167663574e-02,5.335234999656677246e-01
1.760000000000000000e+02,8.008664101362228394e-02,5.419594049453735352e-01
1.770000000000000000e+02,8.007016032934188843e-02,5.332125425338745117e-01
1.780000000000000000e+02,7.984092831611633301e-02,5.350391268730163574e-01
1.790000000000000000e+02,7.963041961193084717e-02,5.385755896568298340e-01
