Iter,Loss,L2
1.000000000000000000e+00,2.130429893732070923e-01,9.393867850303649902e-01
2.000000000000000000e+00,1.867467910051345825e-01,8.969920873641967773e-01
3.000000000000000000e+00,1.748710572719573975e-01,8.588597178459167480e-01
4.000000000000000000e+00,1.742758750915527344e-01,8.526642918586730957e-01
5.000000000000000000e+00,1.728122234344482422e-01,8.418925404548645020e-01
6.000000000000000000e+00,1.686066240072250366e-01,8.193410634994506836e-01
7.000000000000000000e+00,1.610335707664489746e-01,7.978144288063049316e-01
8.000000000000000000e+00,1.491271704435348511e-01,7.543559670448303223e-01
9.000000000000000000e+00,1.328897625207901001e-01,6.995234489440917969e-01
1.000000000000000000e+01,1.283789128065109253e-01,6.963098049163818359e-01
1.100000000000000000e+01,1.230105310678482056e-01,6.954728960990905762e-01
1.200000000000000000e+01,1.196833327412605286e-01,6.862459182739257812e-01
1.300000000000000000e+01,1.150346621870994568e-01,6.724827885627746582e-01
1.400000000000000000e+01,1.125358790159225464e-01,6.584275364875793457e-01
1.500000000000000000e+01,1.097822561860084534e-01,6.481356024742126465e-01
1.600000000000000000e+01,1.069103330373764038e-01,6.494494080543518066e-01
1.700000000000000000e+01,1.051419228315353394e-01,6.607677936553955078e-01
1.800000000000000000e+01,1.035051345825195312e-01,6.763468980789184570e-01
1.900000000000000000e+01,1.017718985676765442e-01,6.869695782661437988e-01
2.000000000000000000e+01,9.952935576438903809e-02,6.819691658020019531e-01
2.100000000000000000e+01,9.680201858282089233e-02,6.563275456428527832e-01
2.200000000000000000e+01,9.393027424812316895e-02,6.303989887237548828e-01
2.300000000000000000e+01,9.219922870397567749e-02,6.043127775192260742e-01
2.400000000000000000e+01,9.146081656217575073e-02,5.988275408744812012e-01
2.500000000000000000e+01,9.006342291831970215e-02,5.997649431228637695e-01
2.600000000000000000e+01,8.822999149560928345e-02,5.963239073753356934e-01
2.700000000000000000e+01,8.672246336936950684e-02,6.006119847297668457e-01
2.800000000000000000e+01,8.563937246799468994e-02,5.875765681266784668e-01
2.900000000000000000e+01,8.511375635862350464e-02,5.896964669227600098e-01
3.000000000000000000e+01,8.464776724576950073e-02,5.938709378242492676e-01
3.100000000000000000e+01,8.408652245998382568e-02,5.801463723182678223e-01
3.200000000000000000e+01,8.303038775920867920e-02,5.673022270202636719e-01
3.300000000000000000e+01,8.127596229314804077e-02,5.418038368225097656e-01
3.400000000000000000e+01,7.956564426422119141e-02,5.382899045944213867e-01
3.500000000000000000e+01,7.892242074012756348e-02,5.195627808570861816e-01
3.600000000000000000e+01,7.806083559989929199e-02,5.262777209281921387e-01
3.700000000000000000e+01,7.717378437519073486e-02,5.420549511909484863e-01
3.800000000000000000e+01,7.628660649061203003e-02,5.388361215591430664e-01
3.900000000000000000e+01,7.585667073726654053e-02,5.194915533065795898e-01
4.000000000000000000e+01,7.513639330863952637e-02,5.255340337753295898e-01
4.100000000000000000e+01,7.475048303604125977e-02,5.306140780448913574e-01
4.200000000000000000e+01,7.432705163955688477e-02,5.327819585800170898e-01
