Iter,Loss,ErrorLambda1,ErrorLambda2
1.000000000000000000e+00,1.243875585937500000e+04,1.000000000000000000e+02,2.212770308849790979e+01
2.000000000000000000e+00,1.236642578125000000e+04,1.000162971104145981e+02,2.212770308849790979e+01
3.000000000000000000e+00,1.181491796875000000e+04,1.001629711128771305e+02,2.212782012194006853e+01
4.000000000000000000e+00,1.054902539062500000e+04,1.005714588332921267e+02,2.212692774194360013e+01
5.000000000000000000e+00,9.049217773437500000e+03,1.017622603103518486e+02,2.212325581769583493e+01
6.000000000000000000e+00,1.950695312500000000e+04,1.133369788527488708e+02,2.207384576133399179e+01
7.000000000000000000e+00,7.021503906250000000e+03,1.053019329905509949e+02,2.210813655988681958e+01
8.000000000000000000e+00,5.198776367187500000e+03,1.125283122062683105e+02,2.206069412827128673e+01
9.000000000000000000e+00,5.559231445312500000e+03,1.184823736548423767e+02,2.207789804426877467e+01
1.000000000000000000e+01,4.020696777343750000e+03,1.154544040560722351e+02,2.206916442364760300e+01
1.100000000000000000e+01,3.603946289062500000e+03,1.141342431306838989e+02,2.214159349516425124e+01
1.200000000000000000e+01,3.208702880859375000e+03,1.118319354951381683e+02,2.229558756127615027e+01
1.300000000000000000e+01,2.914816894531250000e+03,1.068287163972854614e+02,2.263848823221424666e+01
1.400000000000000000e+01,2.578713867187500000e+03,9.869338572025299072e+01,2.310636599019873927e+01
1.500000000000000000e+01,2.285733398437500000e+03,9.213937893509864807e+01,2.351206241744570491e+01
1.600000000000000000e+01,2.682730468750000000e+03,6.346708536148071289e+01,2.512208416664801192e+01
1.700000000000000000e+01,1.926699707031250000e+03,7.780862301588058472e+01,2.432104877178522528e+01
1.800000000000000000e+01,1.823336791992187500e+03,6.950460672378540039e+01,2.472604299837923136e+01
1.900000000000000000e+01,1.582817016601562500e+03,7.439571321010589600e+01,2.433674588221490964e+01
2.000000000000000000e+01,1.444601806640625000e+03,6.977648437023162842e+01,2.453492007274213549e+01
2.100000000000000000e+01,1.368592529296875000e+03,6.650214195251464844e+01,2.461569509160280589e+01
2.200000000000000000e+01,1.308823608398437500e+03,6.479399204254150391e+01,2.454434857942613490e+01
2.300000000000000000e+01,1.256052124023437500e+03,6.248407065868377686e+01,2.446763315809038275e+01
2.400000000000000000e+01,1.189810058593750000e+03,6.254647672176361084e+01,2.419059305672771742e+01
2.500000000000000000e+01,1.101510498046875000e+03,6.218535602092742920e+01,2.364438335298763505e+01
2.600000000000000000e+01,1.031439697265625000e+03,6.490320563316345215e+01,2.265069628314953931e+01
2.700000000000000000e+01,9.765045166015625000e+02,6.632240116596221924e+01,2.177437181202732219e+01
2.800000000000000000e+01,9.462827148437500000e+02,6.720992624759674072e+01,2.124511732822014309e+01
2.900000000000000000e+01,9.281192016601562500e+02,6.845832169055938721e+01,2.070933091542242011e+01
3.000000000000000000e+01,9.174185791015625000e+02,6.799851655960083008e+01,2.062516192673911419e+01
3.100000000000000000e+01,9.072302246093750000e+02,6.759387552738189697e+01,2.045879888870895158e+01
3.200000000000000000e+01,8.893617553710937500e+02,6.765395998954772949e+01,1.999850636069443510e+01
3.300000000000000000e+01,8.645125732421875000e+02,6.782273650169372559e+01,1.846013102186433485e+01
3.400000000000000000e+01,8.481925048828125000e+02,6.735079586505889893e+01,1.755982932427962595e+01
3.500000000000000000e+01,8.377606201171875000e+02,6.695576310157775879e+01,1.698623379507415265e+01
3.600000000000000000e+01,8.235744018554687500e+02,6.556622684001922607e+01,1.588709227925993517e+01
3.700000000000000000e+01,8.050783081054687500e+02,6.395182907581329346e+01,1.438556053093976494e+01
3.800000000000000000e+01,7.890454101562500000e+02,6.169870793819427490e+01,1.220431317973571872e+01
3.900000000000000000e+01,7.784616088867187500e+02,6.086315512657165527e+01,1.138313340364117465e+01
4.000000000000000000e+01,7.589383544921875000e+02,5.976012349128723145e+01,9.361073477544866961e+00
4.100000000000000000e+01,7.348448486328125000e+02,5.879311859607696533e+01,6.360109268273273386e+00
4.200000000000000000e+01,7.082116699218750000e+02,5.836853086948394775e+01,1.697489618036492010e+00
4.300000000000000000e+01,6.944006958007812500e+02,5.769185125827789307e+01,1.396077302344048032e+00
4.400000000000000000e+01,6.728131103515625000e+02,5.604381859302520752e+01,7.406958779212461152e+00
4.500000000000000000e+01,6.576218261718750000e+02,5.259152650833129883e+01,1.513423077502617531e+01
4.600000000000000000e+01,6.380216064453125000e+02,5.043027102947235107e+01,1.508746128570306411e+01
