Iter,Loss,ErrorLambda1,ErrorLambda2
1.000000000000000000e+00,1.260919726562500000e+04,1.000000000000000000e+02,2.212770308849790979e+01
2.000000000000000000e+00,1.253564160156250000e+04,1.000168813785421662e+02,2.212770308849790979e+01
3.000000000000000000e+00,1.197477441406250000e+04,1.001688137883320451e+02,2.212785669489074181e+01
4.000000000000000000e+00,1.068146582031250000e+04,1.005957545712590218e+02,2.212696431489427695e+01
5.000000000000000000e+00,9.119031250000000000e+03,1.018525712192058563e+02,2.212306563835232609e+01
6.000000000000000000e+00,2.115284765625000000e+04,1.142815366387367249e+02,2.206980079298934783e+01
7.000000000000000000e+00,7.065619628906250000e+03,1.054381944239139557e+02,2.210769036988858360e+01
8.000000000000000000e+00,5.194336914062500000e+03,1.131767898797988892e+02,2.205526670239112264e+01
9.000000000000000000e+00,5.505721679687500000e+03,1.192922830581665039e+02,2.206705050709858895e+01
1.000000000000000000e+01,3.980718017578125000e+03,1.162383377552032471e+02,2.206117689122019243e+01
1.100000000000000000e+01,3.577775878906250000e+03,1.150035172700881958e+02,2.212485039834526290e+01
1.200000000000000000e+01,3.193803955078125000e+03,1.129357784986495972e+02,2.226000939485956920e+01
1.300000000000000000e+01,2.875863769531250000e+03,1.086195141077041626e+02,2.255573827401712705e+01
1.400000000000000000e+01,2.525265625000000000e+03,9.783402904868125916e+01,2.315493486869506157e+01
1.500000000000000000e+01,2.205029541015625000e+03,8.904468566179275513e+01,2.366469596979249701e+01
1.600000000000000000e+01,2.299939697265625000e+03,6.773776412010192871e+01,2.476541012248573637e+01
1.700000000000000000e+01,1.963767700195312500e+03,7.807435989379882812e+01,2.423341998196807268e+01
1.800000000000000000e+01,1.708621582031250000e+03,7.120140790939331055e+01,2.451685303510871705e+01
1.900000000000000000e+01,1.555149414062500000e+03,7.103718817234039307e+01,2.434288282333816511e+01
2.000000000000000000e+01,1.369830200195312500e+03,6.427154541015625000e+01,2.456578764311178276e+01
2.100000000000000000e+01,1.289936767578125000e+03,6.216818094253540039e+01,2.451522919609874762e+01
2.200000000000000000e+01,1.229695556640625000e+03,6.270788908004760742e+01,2.430964532576478021e+01
2.300000000000000000e+01,1.159036987304687500e+03,6.133152842521667480e+01,2.402463232115497860e+01
2.400000000000000000e+01,1.113194213867187500e+03,6.327122747898101807e+01,2.358475481420721565e+01
2.500000000000000000e+01,1.076447265625000000e+03,6.263523101806640625e+01,2.335357719299092594e+01
2.600000000000000000e+01,1.002738952636718750e+03,6.293573975563049316e+01,2.257571441967577996e+01
2.700000000000000000e+01,9.469606933593750000e+02,6.423210799694061279e+01,2.157684130543197654e+01
2.800000000000000000e+01,9.191159667968750000e+02,6.721472740173339844e+01,2.041680582674398536e+01
2.900000000000000000e+01,9.022789916992187500e+02,6.810570657253265381e+01,2.023576972090303627e+01
3.000000000000000000e+01,8.958243408203125000e+02,6.809892952442169189e+01,2.019723646007192031e+01
3.100000000000000000e+01,8.795410156250000000e+02,6.831215620040893555e+01,1.985257297291129319e+01
3.200000000000000000e+01,8.596161499023437500e+02,6.832896173000335693e+01,1.894577591928671723e+01
3.300000000000000000e+01,8.496999511718750000e+02,6.790302097797393799e+01,1.790500483274970023e+01
3.400000000000000000e+01,8.388044433593750000e+02,6.744793653488159180e+01,1.755849806887505693e+01
3.500000000000000000e+01,8.297109375000000000e+02,6.662544012069702148e+01,1.705044858186920820e+01
3.600000000000000000e+01,8.201940917968750000e+02,6.571767032146453857e+01,1.636202861672469311e+01
