Iter,Loss,L2
1.000000000000000000e+00,6.266773046875000000e+04,1.112464308738708496e+00
2.000000000000000000e+00,6.261144140625000000e+04,1.110847115516662598e+00
3.000000000000000000e+00,6.214277734375000000e+04,1.096864104270935059e+00
4.000000000000000000e+00,5.838355078125000000e+04,1.002539038658142090e+00
5.000000000000000000e+00,4.481342968750000000e+04,7.969317436218261719e-01
6.000000000000000000e+00,9.134345312500000000e+04,1.939236521720886230e+00
7.000000000000000000e+00,2.750222851562500000e+04,1.101701140403747559e+00
8.000000000000000000e+00,2.853916796875000000e+04,1.740888476371765137e+00
9.000000000000000000e+00,1.973262304687500000e+04,1.255543589591979980e+00
1.000000000000000000e+01,2.220166796875000000e+04,8.670239448547363281e-01
1.100000000000000000e+01,1.717842382812500000e+04,1.079924941062927246e+00
1.200000000000000000e+01,1.500340136718750000e+04,1.109180927276611328e+00
1.300000000000000000e+01,1.359786035156250000e+04,1.156812548637390137e+00
1.400000000000000000e+01,1.263227832031250000e+04,1.077253937721252441e+00
1.500000000000000000e+01,1.168342871093750000e+04,7.857046127319335938e-01
1.600000000000000000e+01,1.122742187500000000e+04,7.290993928909301758e-01
1.700000000000000000e+01,1.064757324218750000e+04,6.349675655364990234e-01
1.800000000000000000e+01,9.531381835937500000e+03,4.538895189762115479e-01
1.900000000000000000e+01,8.808126953125000000e+03,4.821122586727142334e-01
2.000000000000000000e+01,8.247956054687500000e+03,7.325553297996520996e-01
2.100000000000000000e+01,7.566550781250000000e+03,6.083597540855407715e-01
2.200000000000000000e+01,6.852487304687500000e+03,6.428301334381103516e-01
2.300000000000000000e+01,6.561643554687500000e+03,6.867783665657043457e-01
2.400000000000000000e+01,5.547365234375000000e+03,7.132110595703125000e-01
2.500000000000000000e+01,4.733458984375000000e+03,5.686033964157104492e-01
2.600000000000000000e+01,4.765104003906250000e+03,3.763426244258880615e-01
2.700000000000000000e+01,4.201662109375000000e+03,4.603039324283599854e-01
2.800000000000000000e+01,4.382345214843750000e+03,4.268418848514556885e-01
2.900000000000000000e+01,4.076707763671875000e+03,4.458605647087097168e-01
3.000000000000000000e+01,4.534952636718750000e+03,4.599255919456481934e-01
3.100000000000000000e+01,4.044910644531250000e+03,4.433760643005371094e-01
3.200000000000000000e+01,3.939356445312500000e+03,3.707402348518371582e-01
3.300000000000000000e+01,3.758395019531250000e+03,3.194445967674255371e-01
3.400000000000000000e+01,3.614881835937500000e+03,3.099738061428070068e-01
3.500000000000000000e+01,3.695005859375000000e+03,2.900573909282684326e-01
3.600000000000000000e+01,3.436766601562500000e+03,2.982384562492370605e-01
3.700000000000000000e+01,3.281156250000000000e+03,3.388833701610565186e-01
3.800000000000000000e+01,3.092771240234375000e+03,3.474684059619903564e-01
3.900000000000000000e+01,2.961838378906250000e+03,3.709546327590942383e-01
4.000000000000000000e+01,2.865811767578125000e+03,3.856438398361206055e-01
