Iter,Loss,L2
1.000000000000000000e+00,6.269823828125000000e+04,1.112464308738708496e+00
2.000000000000000000e+00,6.264244921875000000e+04,1.110847115516662598e+00
3.000000000000000000e+00,6.217799609375000000e+04,1.096863746643066406e+00
4.000000000000000000e+00,5.844717187500000000e+04,1.002482414245605469e+00
5.000000000000000000e+00,4.487911718750000000e+04,7.955464720726013184e-01
6.000000000000000000e+00,9.379382031250000000e+04,1.927605509757995605e+00
7.000000000000000000e+00,2.753165429687500000e+04,1.096825957298278809e+00
8.000000000000000000e+00,2.041163671875000000e+04,1.543167352676391602e+00
9.000000000000000000e+00,4.862948046875000000e+04,5.904141664505004883e-01
1.000000000000000000e+01,1.740395898437500000e+04,1.303637146949768066e+00
1.100000000000000000e+01,1.570899804687500000e+04,1.208640456199645996e+00
1.200000000000000000e+01,1.411955957031250000e+04,1.141286015510559082e+00
1.300000000000000000e+01,1.261251269531250000e+04,1.063974022865295410e+00
1.400000000000000000e+01,1.136342089843750000e+04,7.442649602890014648e-01
1.500000000000000000e+01,1.070641113281250000e+04,8.123679757118225098e-01
1.600000000000000000e+01,1.023202539062500000e+04,7.927876710891723633e-01
1.700000000000000000e+01,9.745070312500000000e+03,6.990659236907958984e-01
1.800000000000000000e+01,9.119368164062500000e+03,6.507483124732971191e-01
1.900000000000000000e+01,7.778024902343750000e+03,6.082320809364318848e-01
2.000000000000000000e+01,9.709555664062500000e+03,6.907762289047241211e-01
2.100000000000000000e+01,7.310387207031250000e+03,6.188133955001831055e-01
2.200000000000000000e+01,6.788729980468750000e+03,5.780329704284667969e-01
2.300000000000000000e+01,1.595903593750000000e+05,1.814007639884948730e+00
2.400000000000000000e+01,1.461540039062500000e+04,9.968476295471191406e-01
2.500000000000000000e+01,6.572107421875000000e+03,6.177379488945007324e-01
2.600000000000000000e+01,5.567880371093750000e+03,7.276672124862670898e-01
2.700000000000000000e+01,5.909084472656250000e+03,6.506955623626708984e-01
2.800000000000000000e+01,5.292614257812500000e+03,6.919232606887817383e-01
2.900000000000000000e+01,5.034076171875000000e+03,7.034177780151367188e-01
3.000000000000000000e+01,4.721872070312500000e+03,6.306254863739013672e-01
3.100000000000000000e+01,4.354889160156250000e+03,5.850540399551391602e-01
3.200000000000000000e+01,4.251985839843750000e+03,5.780756473541259766e-01
3.300000000000000000e+01,4.076359619140625000e+03,5.497542023658752441e-01
3.400000000000000000e+01,3.827488769531250000e+03,4.547266364097595215e-01
3.500000000000000000e+01,3.517698730468750000e+03,3.382315337657928467e-01
3.600000000000000000e+01,3.305721679687500000e+03,2.531324923038482666e-01
3.700000000000000000e+01,3.190826904296875000e+03,2.600033879280090332e-01
3.800000000000000000e+01,3.125397949218750000e+03,2.764774560928344727e-01
3.900000000000000000e+01,3.063925537109375000e+03,3.058409988880157471e-01
4.000000000000000000e+01,2.993589599609375000e+03,3.133521378040313721e-01
4.100000000000000000e+01,2.892485351562500000e+03,3.032815754413604736e-01
4.200000000000000000e+01,2.739871093750000000e+03,2.818686068058013916e-01
4.300000000000000000e+01,2.635759277343750000e+03,2.401545345783233643e-01
4.400000000000000000e+01,2.602188720703125000e+03,2.245871126651763916e-01
4.500000000000000000e+01,2.564025390625000000e+03,2.235014885663986206e-01
4.600000000000000000e+01,2.548413574218750000e+03,2.258007824420928955e-01
4.700000000000000000e+01,2.520104980468750000e+03,2.302516996860504150e-01
4.800000000000000000e+01,2.447901123046875000e+03,2.400495558977127075e-01
4.900000000000000000e+01,2.327713134765625000e+03,2.553111612796783447e-01
5.000000000000000000e+01,2.291097656250000000e+03,2.598500847816467285e-01
5.100000000000000000e+01,2.271474853515625000e+03,2.577845752239227295e-01
5.200000000000000000e+01,2.253198730468750000e+03,2.520999610424041748e-01
5.300000000000000000e+01,2.234577880859375000e+03,2.443971633911132812e-01
5.400000000000000000e+01,2.220465087890625000e+03,2.406302243471145630e-01
5.500000000000000000e+01,2.211156982421875000e+03,2.407913804054260254e-01
5.600000000000000000e+01,2.200982421875000000e+03,2.450341582298278809e-01
5.700000000000000000e+01,2.188340332031250000e+03,2.531974315643310547e-01
5.800000000000000000e+01,2.165483886718750000e+03,2.633397877216339111e-01
5.900000000000000000e+01,2.136129638671875000e+03,2.745304405689239502e-01
6.000000000000000000e+01,2.111170654296875000e+03,2.722769975662231445e-01
6.100000000000000000e+01,2.103086669921875000e+03,2.518406808376312256e-01
6.200000000000000000e+01,2.081645263671875000e+03,2.517854273319244385e-01
6.300000000000000000e+01,2.078470214843750000e+03,2.494572699069976807e-01
6.400000000000000000e+01,2.074668701171875000e+03,2.463819384574890137e-01
6.500000000000000000e+01,2.070398681640625000e+03,2.424242347478866577e-01
6.600000000000000000e+01,2.061070068359375000e+03,2.388012260198593140e-01
6.700000000000000000e+01,2.041241333007812500e+03,2.297404855489730835e-01
6.800000000000000000e+01,2.020034545898437500e+03,2.228031456470489502e-01
6.900000000000000000e+01,1.994410766601562500e+03,2.172428965568542480e-01
7.000000000000000000e+01,1.978170166015625000e+03,2.160581350326538086e-01
7.100000000000000000e+01,1.966624755859375000e+03,2.182532697916030884e-01
7.200000000000000000e+01,1.958219604492187500e+03,2.210222184658050537e-01
7.300000000000000000e+01,1.953130493164062500e+03,2.288262397050857544e-01
7.400000000000000000e+01,1.940558959960937500e+03,2.319574356079101562e-01
7.500000000000000000e+01,1.899538330078125000e+03,2.469933032989501953e-01
