Iter,Loss,l1,l2
0.000000000000000000e+00,4.872286949201716197e+03,9.999900054931640625e+01,1.000999908447265625e+02
1.000000000000000000e+00,4.870063497597485366e+03,9.999800109863281250e+01,1.001999969482421875e+02
2.000000000000000000e+00,4.867843347495016133e+03,9.999700164794921875e+01,1.002999877929687500e+02
3.000000000000000000e+00,4.865626550676047373e+03,9.999600219726562500e+01,1.003999710083007812e+02
4.000000000000000000e+00,4.863413158316428053e+03,9.999500274658203125e+01,1.004999618530273438e+02
5.000000000000000000e+00,4.861203218434889095e+03,9.999400329589843750e+01,1.005999298095703125e+02
6.000000000000000000e+00,4.858996775254428940e+03,9.999301147460937500e+01,1.006998901367187500e+02
7.000000000000000000e+00,4.856793869638520846e+03,9.999200439453125000e+01,1.007998352050781250e+02
8.000000000000000000e+00,4.854594540370194409e+03,9.999101257324218750e+01,1.008997650146484375e+02
9.000000000000000000e+00,4.852398825123026654e+03,9.999001312255859375e+01,1.009996795654296875e+02
1.000000000000000000e+01,4.850206760427997324e+03,9.998902130126953125e+01,1.010995712280273438e+02
1.100000000000000000e+01,4.848018381251476058e+03,9.998802947998046875e+01,1.011994476318359375e+02
1.200000000000000000e+01,4.845833720581024863e+03,9.998703765869140625e+01,1.012993087768554688e+02
1.300000000000000000e+01,4.843652809102048195e+03,9.998604583740234375e+01,1.013991394042968750e+02
1.400000000000000000e+01,4.841475674991739652e+03,9.998505401611328125e+01,1.014989395141601562e+02
1.500000000000000000e+01,4.839302343791553540e+03,9.998406982421875000e+01,1.015987014770507812e+02
1.600000000000000000e+01,4.837132838294978683e+03,9.998307800292968750e+01,1.016984558105468750e+02
1.700000000000000000e+01,4.834967178426211831e+03,9.998209381103515625e+01,1.017981643676757812e+02
1.800000000000000000e+01,4.832805381128599947e+03,9.998110961914062500e+01,1.018978347778320312e+02
1.900000000000000000e+01,4.830647460296317149e+03,9.998012542724609375e+01,1.019974822998046875e+02
2.000000000000000000e+01,4.828493426777927198e+03,9.997914123535156250e+01,1.020970840454101562e+02
2.100000000000000000e+01,4.826343288463433055e+03,9.997816467285156250e+01,1.021966476440429688e+02
2.200000000000000000e+01,4.824197050447234687e+03,9.997718811035156250e+01,1.022961578369140625e+02
2.300000000000000000e+01,4.822054715243474675e+03,9.997621154785156250e+01,1.023956451416015625e+02
2.400000000000000000e+01,4.819916283019009825e+03,9.997523498535156250e+01,1.024950714111328125e+02
2.500000000000000000e+01,4.817781751810935930e+03,9.997426605224609375e+01,1.025944595336914062e+02
2.600000000000000000e+01,4.815651117705152501e+03,9.997329711914062500e+01,1.026937942504882812e+02
2.700000000000000000e+01,4.813524374965312745e+03,9.997232818603515625e+01,1.027930755615234375e+02
2.800000000000000000e+01,4.811401516116530729e+03,9.997135925292968750e+01,1.028923034667968750e+02
2.900000000000000000e+01,4.809282531993226257e+03,9.997039794921875000e+01,1.029914855957031250e+02
3.000000000000000000e+01,4.807167411766681653e+03,9.996943664550781250e+01,1.030906066894531250e+02
3.100000000000000000e+01,4.805056142964927858e+03,9.996847534179687500e+01,1.031896743774414062e+02
3.200000000000000000e+01,4.802948711492957045e+03,9.996751403808593750e+01,1.032886657714843750e+02
3.300000000000000000e+01,4.800845101659664579e+03,9.996656036376953125e+01,1.033876037597656250e+02
3.400000000000000000e+01,4.798745296212317953e+03,9.996560668945312500e+01,1.034864883422851562e+02
3.500000000000000000e+01,4.796649276379431285e+03,9.996465301513671875e+01,1.035853118896484375e+02
3.600000000000000000e+01,4.794557021920552870e+03,9.996370697021484375e+01,1.036840667724609375e+02
3.700000000000000000e+01,4.792468511180587484e+03,9.996276092529296875e+01,1.037827453613281250e+02
3.800000000000000000e+01,4.790383721149126359e+03,9.996181488037109375e+01,1.038813705444335938e+02
3.900000000000000000e+01,4.788302627521030445e+03,9.996086883544921875e+01,1.039799194335937500e+02
4.000000000000000000e+01,4.786225204759683947e+03,9.995993041992187500e+01,1.040783996582031250e+02
4.100000000000000000e+01,4.784151426160015944e+03,9.995899200439453125e+01,1.041768035888671875e+02
4.200000000000000000e+01,4.782081263911549286e+03,9.995805358886718750e+01,1.042751312255859375e+02
4.300000000000000000e+01,4.780014689160210764e+03,9.995712280273437500e+01,1.043733978271484375e+02
4.400000000000000000e+01,4.777951672068922562e+03,9.995619964599609375e+01,1.044715728759765625e+02
4.500000000000000000e+01,4.775892181875349706e+03,9.995526885986328125e+01,1.045696868896484375e+02
4.600000000000000000e+01,4.773836186947514761e+03,9.995434570312500000e+01,1.046677093505859375e+02
4.700000000000000000e+01,4.771783654835843663e+03,9.995342254638671875e+01,1.047656555175781250e+02
4.800000000000000000e+01,4.769734552322560376e+03,9.995249176025390625e+01,1.048635253906250000e+02
4.900000000000000000e+01,4.767688845467275314e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.100000000000000000e+01,4.765646499650125406e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.200000000000000000e+01,4.616543241359806416e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.300000000000000000e+01,4.251596342331552478e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.400000000000000000e+01,3.766452439834701636e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.500000000000000000e+01,3.433943405340156005e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.600000000000000000e+01,2.993323347684013243e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.700000000000000000e+01,6.738722388759192654e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.800000000000000000e+01,2.551639304068073216e+03,9.995157623291015625e+01,1.049613037109375000e+02
5.900000000000000000e+01,2.218433925911320785e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.000000000000000000e+01,2.144569552148488128e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.100000000000000000e+01,2.059963120004978919e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.200000000000000000e+01,2.008193610966027109e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.300000000000000000e+01,1.694326247417151308e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.400000000000000000e+01,1.612189806066404117e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.500000000000000000e+01,1.519714439433799726e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.600000000000000000e+01,1.455235899386175788e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.700000000000000000e+01,1.337984612649167957e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.800000000000000000e+01,1.283282346258426287e+03,9.995157623291015625e+01,1.049613037109375000e+02
6.900000000000000000e+01,1.196126952333431746e+03,9.995157623291015625e+01,1.049613037109375000e+02
7.000000000000000000e+01,1.166372148366451938e+03,9.995157623291015625e+01,1.049613037109375000e+02
7.100000000000000000e+01,1.099947521321023714e+03,9.995157623291015625e+01,1.049613037109375000e+02
7.200000000000000000e+01,1.468076164928854951e+03,9.995157623291015625e+01,1.049613037109375000e+02
7.300000000000000000e+01,1.068753184422485447e+03,9.995157623291015625e+01,1.049613037109375000e+02
7.400000000000000000e+01,9.991908508001420159e+02,9.995157623291015625e+01,1.049613037109375000e+02
7.500000000000000000e+01,9.755744400792353872e+02,9.995157623291015625e+01,1.049613037109375000e+02
7.600000000000000000e+01,9.233193345108498988e+02,9.995157623291015625e+01,1.049613037109375000e+02
7.700000000000000000e+01,9.066258087534396282e+02,9.995157623291015625e+01,1.049613037109375000e+02
7.800000000000000000e+01,8.880603056445378343e+02,9.995157623291015625e+01,1.049613037109375000e+02
7.900000000000000000e+01,8.709363634693875156e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.000000000000000000e+01,8.488877112438634640e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.100000000000000000e+01,8.371874647923283419e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.200000000000000000e+01,8.232890450732519412e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.300000000000000000e+01,8.043490407282353090e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.400000000000000000e+01,7.934237928023673021e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.500000000000000000e+01,7.811295143762764610e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.600000000000000000e+01,7.668595582499700640e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.700000000000000000e+01,7.488383121757210574e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.800000000000000000e+01,7.310547640777792822e+02,9.995157623291015625e+01,1.049613037109375000e+02
8.900000000000000000e+01,6.975922824779784150e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.000000000000000000e+01,6.668815501416321467e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.100000000000000000e+01,6.592895376946829629e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.200000000000000000e+01,6.476978046115726784e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.300000000000000000e+01,6.415458343060047355e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.400000000000000000e+01,6.333810461276306114e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.500000000000000000e+01,6.245740836531538207e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.600000000000000000e+01,6.189652552412593423e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.700000000000000000e+01,6.124871647630370717e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.800000000000000000e+01,6.069687220265789165e+02,9.995157623291015625e+01,1.049613037109375000e+02
9.900000000000000000e+01,5.989817559686699724e+02,9.995157623291015625e+01,1.049613037109375000e+02
1.000000000000000000e+02,5.908001830261401892e+02,9.995157623291015625e+01,1.049613037109375000e+02
