Iter,Loss,l1,l2
0.000000000000000000e+00,4.911498597181092009e+03,9.990000152587890625e+01,1.100000000000000000e+02
1.000000000000000000e+00,4.703132283312143045e+03,9.980525207519531250e+01,1.198645095825195312e+02
2.000000000000000000e+00,4.528164912281822581e+03,9.971916961669921875e+01,1.294088745117187500e+02
3.000000000000000000e+00,4.377981811589225799e+03,9.964437866210937500e+01,1.382686767578125000e+02
4.000000000000000000e+00,4.240459520919036549e+03,9.958170318603515625e+01,1.457297973632812500e+02
5.000000000000000000e+00,4.103798140025507564e+03,9.952875518798828125e+01,1.506668853759765625e+02
6.000000000000000000e+00,3.959145929139687269e+03,9.947873687744140625e+01,1.521767425537109375e+02
7.000000000000000000e+00,3.800802602237340125e+03,9.942157745361328125e+01,1.504039306640625000e+02
8.000000000000000000e+00,3.625491491790180589e+03,9.935182952880859375e+01,1.461499633789062500e+02
9.000000000000000000e+00,3.432046284132961773e+03,9.927420806884765625e+01,1.401694488525390625e+02
1.000000000000000000e+01,3.221657368785079143e+03,9.919339752197265625e+01,1.329835968017578125e+02
1.100000000000000000e+01,2.999202166082580788e+03,9.911088562011718750e+01,1.249265289306640625e+02
1.200000000000000000e+01,2.774664173530894914e+03,9.902710723876953125e+01,1.162111282348632812e+02
1.300000000000000000e+01,2.562686277013612653e+03,9.894216918945312500e+01,1.069752426147460938e+02
1.400000000000000000e+01,2.379358477119567397e+03,9.885588836669921875e+01,9.731100463867187500e+01
1.500000000000000000e+01,2.237305955917987831e+03,9.876770782470703125e+01,8.728408050537109375e+01
1.600000000000000000e+01,2.141869898248975460e+03,9.867692565917968750e+01,7.694711303710937500e+01
1.700000000000000000e+01,2.088180535631249313e+03,9.858288574218750000e+01,6.634882354736328125e+01
1.800000000000000000e+01,2.059015704021395322e+03,9.848511505126953125e+01,5.552235794067382812e+01
1.900000000000000000e+01,2.030876902515750544e+03,9.838339996337890625e+01,4.446873855590820312e+01
2.000000000000000000e+01,1.990353464558549376e+03,9.827778625488281250e+01,3.318407440185546875e+01
2.100000000000000000e+01,1.942632346533813006e+03,9.816860961914062500e+01,2.169150924682617188e+01
2.200000000000000000e+01,1.892240439347456686e+03,9.805643463134765625e+01,1.003062343597412109e+01
2.300000000000000000e+01,1.831308832492685724e+03,9.794203186035156250e+01,1.757852792739868164e+00
2.400000000000000000e+01,1.761739908164417102e+03,9.782631683349609375e+01,1.362479305267333984e+01
2.500000000000000000e+01,1.699427072113368240e+03,9.771040344238281250e+01,2.549935340881347656e+01
2.600000000000000000e+01,1.657107257531938330e+03,9.759546661376953125e+01,3.729663085937500000e+01
2.700000000000000000e+01,1.631618634046111993e+03,9.748264312744140625e+01,4.894318389892578125e+01
2.800000000000000000e+01,1.608630605540386568e+03,9.737293243408203125e+01,6.039010238647460938e+01
2.900000000000000000e+01,1.577558714472994552e+03,9.726706695556640625e+01,7.160343170166015625e+01
3.000000000000000000e+01,1.537720848737356391e+03,9.716548156738281250e+01,8.254853820800781250e+01
3.100000000000000000e+01,1.493488131548333513e+03,9.706831359863281250e+01,9.318376159667968750e+01
3.200000000000000000e+01,1.448873080302960943e+03,9.697547912597656250e+01,1.034617309570312500e+02
3.300000000000000000e+01,1.407419090127608570e+03,9.688678741455078125e+01,1.133305435180664062e+02
3.400000000000000000e+01,1.373643706371501821e+03,9.680194854736328125e+01,1.227320785522460938e+02
3.500000000000000000e+01,1.350008039153580967e+03,9.672070312500000000e+01,1.316022338867187500e+02
3.600000000000000000e+01,1.332036979299181439e+03,9.664282226562500000e+01,1.398825225830078125e+02
3.700000000000000000e+01,1.310498374930922409e+03,9.656816864013671875e+01,1.475423431396484375e+02
3.800000000000000000e+01,1.280556938386268257e+03,9.649662780761718750e+01,1.545933837890625000e+02
3.900000000000000000e+01,1.246272383311612884e+03,9.642812347412109375e+01,1.610832672119140625e+02
4.000000000000000000e+01,1.215268499015105817e+03,9.636253356933593750e+01,1.670781402587890625e+02
4.100000000000000000e+01,1.190438882124326483e+03,9.629968261718750000e+01,1.726486511230468750e+02
4.200000000000000000e+01,1.167867887159820384e+03,9.623928070068359375e+01,1.778626403808593750e+02
4.300000000000000000e+01,1.142391882512607026e+03,9.618093109130859375e+01,1.827816772460937500e+02
4.400000000000000000e+01,1.113306495763730027e+03,9.612414550781250000e+01,1.874571228027343750e+02
4.500000000000000000e+01,1.084171137483922166e+03,9.606837463378906250e+01,1.919240722656250000e+02
4.600000000000000000e+01,1.058261179613733702e+03,9.601306915283203125e+01,1.961949157714843750e+02
4.700000000000000000e+01,1.035406250994778020e+03,9.595774841308593750e+01,2.002565307617187500e+02
4.800000000000000000e+01,1.013673268945073573e+03,9.590209960937500000e+01,2.040745697021484375e+02
4.900000000000000000e+01,9.923682927977456529e+02,9.584597778320312500e+01,2.076034240722656250e+02
5.000000000000000000e+01,9.717177882272933402e+02,9.578937530517578125e+01,2.107973327636718750e+02
5.100000000000000000e+01,9.513355744669518117e+02,9.573234558105468750e+01,2.136161804199218750e+02
5.200000000000000000e+01,9.309283376481865844e+02,9.567496490478515625e+01,2.160245971679687500e+02
5.300000000000000000e+01,9.115021978471600050e+02,9.561726379394531250e+01,2.179867248535156250e+02
5.400000000000000000e+01,8.939921564976314130e+02,9.555929565429687500e+01,2.194597473144531250e+02
5.500000000000000000e+01,8.770141740019003009e+02,9.550112915039062500e+01,2.203889312744140625e+02
5.600000000000000000e+01,8.585646176033503707e+02,9.544289398193359375e+01,2.207107238769531250e+02
5.700000000000000000e+01,8.396637906927782069e+02,9.538472747802734375e+01,2.203641662597656250e+02
5.800000000000000000e+01,8.228630820372559356e+02,9.532673645019531250e+01,2.193030853271484375e+02
5.900000000000000000e+01,8.082617740262544430e+02,9.526894378662109375e+01,2.174962310791015625e+02
6.000000000000000000e+01,7.940089336258516823e+02,9.521132659912109375e+01,2.149171295166015625e+02
6.100000000000000000e+01,7.792174788182483098e+02,9.515377044677734375e+01,2.115410308837890625e+02
6.200000000000000000e+01,7.644545857474977311e+02,9.509619903564453125e+01,2.073551635742187500e+02
6.300000000000000000e+01,7.504842051915663887e+02,9.503856658935546875e+01,2.023712463378906250e+02
6.400000000000000000e+01,7.376546982613793944e+02,9.498087310791015625e+01,1.966217193603515625e+02
6.500000000000000000e+01,7.257545035540759955e+02,9.492310333251953125e+01,1.901417541503906250e+02
6.600000000000000000e+01,7.139543020423882353e+02,9.486519622802734375e+01,1.829513397216796875e+02
6.700000000000000000e+01,7.019407479485630574e+02,9.480701446533203125e+01,1.750465393066406250e+02
6.800000000000000000e+01,6.907704441284123504e+02,9.474836730957031250e+01,1.664062957763671875e+02
6.900000000000000000e+01,6.810073356737751737e+02,9.468910980224609375e+01,1.570168457031250000e+02
7.000000000000000000e+01,6.714572886674829988e+02,9.462921905517578125e+01,1.468978576660156250e+02
7.100000000000000000e+01,6.616005080176461206e+02,9.456872558593750000e+01,1.361045227050781250e+02
7.200000000000000000e+01,6.525429073402805216e+02,9.450772857666015625e+01,1.247033386230468750e+02
7.300000000000000000e+01,6.446754401832012036e+02,9.444625854492187500e+01,1.127459182739257812e+02
7.400000000000000000e+01,6.373998836011104459e+02,9.438426208496093750e+01,1.002639160156250000e+02
7.500000000000000000e+01,6.305061078560955821e+02,9.432162475585937500e+01,8.728550720214843750e+01
7.600000000000000000e+01,6.241825452346878365e+02,9.425822448730468750e+01,7.385831451416015625e+01
7.700000000000000000e+01,6.186851776844441702e+02,9.419399261474609375e+01,6.006024932861328125e+01
7.800000000000000000e+01,6.138867821927557316e+02,9.412888336181640625e+01,4.598590850830078125e+01
7.900000000000000000e+01,6.092374467112624643e+02,9.406291961669921875e+01,3.172261810302734375e+01
8.000000000000000000e+01,6.048923051071902819e+02,9.399608612060546875e+01,1.734163665771484375e+01
8.100000000000000000e+01,6.014042764549940330e+02,9.392842102050781250e+01,2.907961606979370117e+00
8.200000000000000000e+01,5.983050026515116997e+02,9.385993194580078125e+01,1.150945186614990234e+01
8.300000000000000000e+01,5.952377724053087604e+02,9.379067230224609375e+01,2.583929061889648438e+01
8.400000000000000000e+01,5.927349036266002713e+02,9.372071075439453125e+01,4.001654815673828125e+01
8.500000000000000000e+01,5.906255956820809843e+02,9.365015411376953125e+01,5.398641967773437500e+01
8.600000000000000000e+01,5.884006696615871306e+02,9.357915496826171875e+01,6.769658660888671875e+01
8.700000000000000000e+01,5.863429569493745248e+02,9.350793457031250000e+01,8.108847808837890625e+01
8.800000000000000000e+01,5.845678872551345648e+02,9.343672943115234375e+01,9.410173034667968750e+01
8.900000000000000000e+01,5.827361443768842264e+02,9.336576080322265625e+01,1.066879882812500000e+02
9.000000000000000000e+01,5.809102366760807854e+02,9.329516601562500000e+01,1.188167572021484375e+02
9.100000000000000000e+01,5.792703344546000608e+02,9.322505950927734375e+01,1.304663696289062500e+02
9.200000000000000000e+01,5.776748392301292370e+02,9.315554809570312500e+01,1.416101074218750000e+02
9.300000000000000000e+01,5.760455306919180885e+02,9.308676147460937500e+01,1.522119140625000000e+02
9.400000000000000000e+01,5.745288726832877728e+02,9.301884460449218750e+01,1.622347564697265625e+02
9.500000000000000000e+01,5.731365304219492600e+02,9.295189666748046875e+01,1.716512145996093750e+02
9.600000000000000000e+01,5.717458975525510141e+02,9.288589477539062500e+01,1.804442901611328125e+02
9.700000000000000000e+01,5.704306702330173948e+02,9.282077789306640625e+01,1.885997467041015625e+02
9.800000000000000000e+01,5.692494874516705750e+02,9.275648498535156250e+01,1.960995025634765625e+02
9.900000000000000000e+01,5.680486682438441903e+02,9.269298553466796875e+01,2.029232330322265625e+02
1.000000000000000000e+02,5.668366547903383434e+02,9.263027954101562500e+01,2.090538787841796875e+02
1.010000000000000000e+02,5.656981454764791124e+02,9.256835937500000000e+01,2.144804077148437500e+02
1.020000000000000000e+02,5.645230959786845233e+02,9.250714874267578125e+01,2.191967010498046875e+02
1.030000000000000000e+02,5.633105082142932361e+02,9.244653320312500000e+01,2.232008514404296875e+02
1.040000000000000000e+02,5.621502196762913854e+02,9.238639831542968750e+01,2.264967193603515625e+02
1.050000000000000000e+02,5.609781575884214817e+02,9.232663726806640625e+01,2.290949096679687500e+02
1.060000000000000000e+02,5.597804332774020395e+02,9.226720428466796875e+01,2.310101013183593750e+02
1.070000000000000000e+02,5.586167589678848344e+02,9.220804595947265625e+01,2.322578887939453125e+02
1.080000000000000000e+02,5.574530966992924732e+02,9.214907836914062500e+01,2.328567962646484375e+02
1.090000000000000000e+02,5.562729600171335278e+02,9.209016418457031250e+01,2.328340759277343750e+02
1.100000000000000000e+02,5.551198060220448269e+02,9.203119659423828125e+01,2.322277069091796875e+02
1.110000000000000000e+02,5.539872659207360357e+02,9.197209167480468750e+01,2.310806274414062500e+02
1.120000000000000000e+02,5.528556798666720624e+02,9.191279602050781250e+01,2.294323272705078125e+02
1.130000000000000000e+02,5.517532262358477055e+02,9.185327911376953125e+01,2.273180541992187500e+02
1.140000000000000000e+02,5.506776905928157930e+02,9.179347991943359375e+01,2.247761993408203125e+02
