Iter,Loss,l1,l2
0.000000000000000000e+00,4.944163943906909481e+03,9.990000152587890625e+01,1.100000000000000000e+02
1.000000000000000000e+00,4.735586949595754959e+03,9.980553436279296875e+01,1.198606033325195312e+02
2.000000000000000000e+00,4.561226206446822289e+03,9.971972656250000000e+01,1.293675231933593750e+02
3.000000000000000000e+00,4.412543783173055999e+03,9.964479064941406250e+01,1.380885925292968750e+02
4.000000000000000000e+00,4.277317777393094730e+03,9.958161926269531250e+01,1.451766052246093750e+02
5.000000000000000000e+00,4.143558127953854637e+03,9.952895355224609375e+01,1.493618164062500000e+02
6.000000000000000000e+00,4.002139987715716870e+03,9.948249816894531250e+01,1.498344421386718750e+02
7.000000000000000000e+00,3.846979669872184331e+03,9.943458557128906250e+01,1.470368957519531250e+02
8.000000000000000000e+00,3.674472594907942948e+03,9.937639617919921875e+01,1.419448394775390625e+02
9.000000000000000000e+00,3.483293095133152292e+03,9.930555725097656250e+01,1.353371887207031250e+02
1.000000000000000000e+01,3.274606522171813594e+03,9.922756958007812500e+01,1.277013092041015625e+02
1.100000000000000000e+01,3.053182517257437667e+03,9.914682769775390625e+01,1.193285675048828125e+02
1.200000000000000000e+01,2.828742260265095410e+03,9.906483459472656250e+01,1.103976287841796875e+02
1.300000000000000000e+01,2.615773216523652536e+03,9.898183441162109375e+01,1.010237426757812500e+02
1.400000000000000000e+01,2.430611457049187266e+03,9.889753723144531250e+01,9.128525543212890625e+01
1.500000000000000000e+01,2.286463465681914386e+03,9.881130981445312500e+01,8.123497009277343750e+01
1.600000000000000000e+01,2.189127569122461864e+03,9.872238922119140625e+01,7.090284729003906250e+01
1.700000000000000000e+01,2.134101010402676366e+03,9.863009643554687500e+01,6.030081939697265625e+01
1.800000000000000000e+01,2.104609609778161939e+03,9.853388214111328125e+01,4.943894577026367188e+01
1.900000000000000000e+01,2.075636893645820692e+03,9.843347167968750000e+01,3.834113311767578125e+01
2.000000000000000000e+01,2.026889103157806176e+03,9.832891082763671875e+01,2.704654121398925781e+01
2.100000000000000000e+01,1.957476210628301942e+03,9.822058105468750000e+01,1.560577201843261719e+01
2.200000000000000000e+01,1.886342650402852314e+03,9.810913085937500000e+01,4.073921680450439453e+00
2.300000000000000000e+01,1.825997917008969807e+03,9.799539947509765625e+01,7.508276462554931641e+00
2.400000000000000000e+01,1.767492397237336036e+03,9.788029479980468750e+01,1.912160873413085938e+01
2.500000000000000000e+01,1.709706211064536774e+03,9.776480865478515625e+01,3.076170730590820312e+01
2.600000000000000000e+01,1.665513594692599099e+03,9.764994049072265625e+01,4.243267822265625000e+01
