Iter,Loss,L2
0.000000000000000000e+00,4.748104216465838689e+00,8.669937071699073128e-01
1.000000000000000000e+00,4.600237828622247171e+00,8.679188774557570207e-01
2.000000000000000000e+00,4.456159986094480274e+00,8.688615530708262424e-01
3.000000000000000000e+00,4.315845886525466746e+00,8.698203368326297147e-01
4.000000000000000000e+00,4.179269400663079281e+00,8.707941238253681382e-01
5.000000000000000000e+00,4.046379851169776387e+00,8.717819051488895354e-01
6.000000000000000000e+00,3.917134783684439014e+00,8.727827081748035232e-01
7.000000000000000000e+00,3.791489228917743759e+00,8.737955730584505698e-01
8.000000000000000000e+00,3.669396910421544256e+00,8.748195300658953011e-01
9.000000000000000000e+00,3.550810093545560875e+00,8.758535767448941689e-01
1.000000000000000000e+01,3.435680763872450250e+00,8.768967289262711295e-01
1.100000000000000000e+01,3.323959271899426859e+00,8.779479773252781838e-01
1.200000000000000000e+01,3.215593328496690440e+00,8.790063164829936548e-01
1.300000000000000000e+01,3.110533883639700292e+00,8.800707813481383202e-01
1.400000000000000000e+01,3.008727329232153025e+00,8.811403855201912494e-01
1.500000000000000000e+01,2.910120935480505544e+00,8.822141763625370725e-01
1.600000000000000000e+01,2.814661861768140483e+00,8.832912409661286546e-01
1.700000000000000000e+01,2.722296171229150907e+00,8.843706617447777418e-01
1.800000000000000000e+01,2.632969015180778527e+00,8.854515659272330641e-01
1.900000000000000000e+01,2.546625527947112833e+00,8.865330731702579792e-01
2.000000000000000000e+01,2.463211167273853697e+00,8.876143621416923146e-01
2.100000000000000000e+01,2.382669915156336415e+00,8.886945899500520163e-01
2.200000000000000000e+01,2.304945815979767776e+00,8.897729370654077208e-01
2.300000000000000000e+01,2.229983382896447708e+00,8.908486864721241183e-01
2.400000000000000000e+01,2.157724556346437339e+00,8.919209865592050424e-01
2.500000000000000000e+01,2.088113912114652138e+00,8.929891192274017619e-01
2.600000000000000000e+01,2.021095080827493451e+00,8.940523726112751257e-01
2.700000000000000000e+01,1.956609349717300272e+00,8.951100070100564965e-01
2.800000000000000000e+01,1.894600978096035782e+00,8.961613477235521596e-01
2.900000000000000000e+01,1.835011785229227588e+00,8.972057286064840653e-01
3.000000000000000000e+01,1.777785371650554946e+00,8.982424886777061745e-01
3.100000000000000000e+01,1.722863456331958476e+00,8.992710090749093110e-01
3.200000000000000000e+01,1.670188658103070267e+00,9.002906319654903067e-01
3.300000000000000000e+01,1.619704239881713193e+00,9.013008445021462034e-01
3.400000000000000000e+01,1.571351920601991470e+00,9.023009977073603860e-01
3.500000000000000000e+01,1.525075393650048294e+00,9.032905865527216527e-01
3.600000000000000000e+01,1.480817404279550553e+00,9.042690659840532108e-01
3.700000000000000000e+01,1.438520231957681528e+00,9.052358978988926941e-01
