Iter,Loss,L2
0.000000000000000000e+00,4.990196972115262142e+00,9.638584167667902936e-01
1.000000000000000000e+00,2.652883841571794576e+00,1.000572884385618089e+00
2.000000000000000000e+00,3.914112176542297483e+00,9.161403117651397698e-01
3.000000000000000000e+00,1.565878674715930119e+00,8.911412733989854118e-01
4.000000000000000000e+00,6.539056043297345466e-01,9.017522702810640833e-01
5.000000000000000000e+00,1.289382317215991947e+00,9.032652669527075906e-01
6.000000000000000000e+00,1.787892733367799636e+00,8.748537712578444703e-01
7.000000000000000000e+00,1.498487423792666418e+00,8.270318250816233174e-01
8.000000000000000000e+00,8.701851582997855994e-01,7.829669090413400312e-01
9.000000000000000000e+00,5.032665475276807410e-01,7.719804926295977809e-01
1.000000000000000000e+01,5.984626061022886301e-01,7.771924207438787313e-01
1.100000000000000000e+01,8.838686951465415387e-01,7.722851286779218727e-01
1.200000000000000000e+01,9.949415711315252597e-01,7.469422411764794489e-01
1.300000000000000000e+01,8.361355559833472118e-01,7.102090800325532305e-01
1.400000000000000000e+01,5.669032543635892374e-01,6.839298819621454362e-01
1.500000000000000000e+01,3.966118369072836325e-01,6.783004926887986619e-01
1.600000000000000000e+01,4.096628779873944248e-01,6.848010371928507922e-01
1.700000000000000000e+01,5.316034562809466291e-01,6.881366665212628186e-01
1.800000000000000000e+01,6.241680783894067996e-01,6.807947657616683079e-01
1.900000000000000000e+01,6.052085501885859919e-01,6.655090569437746018e-01
2.000000000000000000e+01,4.952010456538126215e-01,6.503967384789040018e-01
2.100000000000000000e+01,3.815907418835384202e-01,6.425936214857768114e-01
2.200000000000000000e+01,3.396991618134894142e-01,6.429811232772113527e-01
2.300000000000000000e+01,3.744057031391924140e-01,6.467718036300081907e-01
2.400000000000000000e+01,4.334685886693135926e-01,6.484053529865236865e-01
2.500000000000000000e+01,4.611418227846661444e-01,6.452791200198328969e-01
2.600000000000000000e+01,4.344209684219699219e-01,6.392216092166193020e-01
2.700000000000000000e+01,3.743762270770246148e-01,6.346517394395199130e-01
2.800000000000000000e+01,3.253579039205407586e-01,6.342261130493679344e-01
2.900000000000000000e+01,3.144788278660070602e-01,6.367163387390983864e-01
3.000000000000000000e+01,3.355741675587811668e-01,6.387079576251046831e-01
3.100000000000000000e+01,3.620917417829339069e-01,6.373508345960733346e-01
3.200000000000000000e+01,3.672031423254087379e-01,6.321457808815384993e-01
3.300000000000000000e+01,3.438792087430442290e-01,6.249683728186419263e-01
3.400000000000000000e+01,3.095678875978886690e-01,6.184330649070634012e-01
3.500000000000000000e+01,2.872144718403231711e-01,6.141301454274958882e-01
3.600000000000000000e+01,2.864501531428880754e-01,6.118078756191808187e-01
3.700000000000000000e+01,2.996420332962980160e-01,6.098272237489869019e-01
3.800000000000000000e+01,3.088567756598536440e-01,6.069375969643788782e-01
3.900000000000000000e+01,3.018405551922883623e-01,6.035035620210227325e-01
4.000000000000000000e+01,2.824491038268091003e-01,6.007440948235736045e-01
4.100000000000000000e+01,2.638131602787477381e-01,5.993662659543925741e-01
4.200000000000000000e+01,2.563286745513440046e-01,5.988829136479225657e-01
4.300000000000000000e+01,2.598258819394397290e-01,5.978874253038599651e-01
4.400000000000000000e+01,2.642575280657664671e-01,5.951287827247156992e-01
4.500000000000000000e+01,2.604738824723386026e-01,5.903957292756121245e-01
4.600000000000000000e+01,2.484431427333029241e-01,5.845853229949496965e-01
4.700000000000000000e+01,2.353624613506290486e-01,5.789905610299552752e-01
4.800000000000000000e+01,2.286547285577062993e-01,5.742110471793309134e-01
4.900000000000000000e+01,2.288898888304070067e-01,5.698970971414761832e-01
5.000000000000000000e+01,2.297996543761761101e-01,5.655963429849784063e-01
5.100000000000000000e+01,2.257156147948029545e-01,5.613905812564000675e-01
5.200000000000000000e+01,2.167036015625244949e-01,5.577415735554707155e-01
