Iter,Loss,L2
1.000000000000000000e+00,4.000553710937500000e+03,9.996684789657592773e-01
2.000000000000000000e+00,3.913959228515625000e+03,9.985482692718505859e-01
3.000000000000000000e+00,3.783317138671875000e+03,9.966987371444702148e-01
4.000000000000000000e+00,3.646751464843750000e+03,9.951854348182678223e-01
5.000000000000000000e+00,3.570800781250000000e+03,9.946377873420715332e-01
6.000000000000000000e+00,3.566634765625000000e+03,9.948505163192749023e-01
7.000000000000000000e+00,3.605013916015625000e+03,9.945032000541687012e-01
8.000000000000000000e+00,3.544204833984375000e+03,9.946508407592773438e-01
9.000000000000000000e+00,3.503781250000000000e+03,9.948635101318359375e-01
1.000000000000000000e+01,3.497922851562500000e+03,9.950451850891113281e-01
1.100000000000000000e+01,3.511030517578125000e+03,9.952288866043090820e-01
1.200000000000000000e+01,3.518279296875000000e+03,9.953821897506713867e-01
1.300000000000000000e+01,3.511456298828125000e+03,9.954421520233154297e-01
1.400000000000000000e+01,3.497281250000000000e+03,9.953641891479492188e-01
1.500000000000000000e+01,3.485938720703125000e+03,9.951692819595336914e-01
1.600000000000000000e+01,3.483781005859375000e+03,9.949433803558349609e-01
1.700000000000000000e+01,3.488240478515625000e+03,9.947698116302490234e-01
1.800000000000000000e+01,3.490403076171875000e+03,9.946745634078979492e-01
1.900000000000000000e+01,3.486297851562500000e+03,9.946478009223937988e-01
2.000000000000000000e+01,3.479981201171875000e+03,9.946781396865844727e-01
2.100000000000000000e+01,3.476488281250000000e+03,9.947584271430969238e-01
2.200000000000000000e+01,3.476810058593750000e+03,9.948799610137939453e-01
2.300000000000000000e+01,3.478645751953125000e+03,9.950268864631652832e-01
2.400000000000000000e+01,3.479389892578125000e+03,9.951751828193664551e-01
2.500000000000000000e+01,3.477999511718750000e+03,9.953030347824096680e-01
2.600000000000000000e+01,3.475138427734375000e+03,9.954081773757934570e-01
2.700000000000000000e+01,3.472302734375000000e+03,9.955195784568786621e-01
2.800000000000000000e+01,3.470709716796875000e+03,9.956858158111572266e-01
2.900000000000000000e+01,3.470513916015625000e+03,9.959396719932556152e-01
3.000000000000000000e+01,3.470759765625000000e+03,9.962740540504455566e-01
3.100000000000000000e+01,3.470256347656250000e+03,9.966703057289123535e-01
3.200000000000000000e+01,3.468695800781250000e+03,9.971472024917602539e-01
3.300000000000000000e+01,3.466778564453125000e+03,9.977705478668212891e-01
3.400000000000000000e+01,3.465313964843750000e+03,9.986160397529602051e-01
3.500000000000000000e+01,3.464482177734375000e+03,9.997245669364929199e-01
3.600000000000000000e+01,3.463873046875000000e+03,1.001079201698303223e+00
3.700000000000000000e+01,3.462973632812500000e+03,1.002610802650451660e+00
3.800000000000000000e+01,3.461598876953125000e+03,1.004226207733154297e+00
3.900000000000000000e+01,3.459947509765625000e+03,1.005854010581970215e+00
4.000000000000000000e+01,3.458285400390625000e+03,1.007500171661376953e+00
4.100000000000000000e+01,3.456632812500000000e+03,1.009299874305725098e+00
4.200000000000000000e+01,3.454803222656250000e+03,1.011541128158569336e+00
4.300000000000000000e+01,3.452649414062500000e+03,1.014668107032775879e+00
4.400000000000000000e+01,3.450082031250000000e+03,1.019306540489196777e+00
4.500000000000000000e+01,3.446860107421875000e+03,1.026330471038818359e+00
4.600000000000000000e+01,3.442451171875000000e+03,1.036981821060180664e+00
4.700000000000000000e+01,3.435982910156250000e+03,1.053157925605773926e+00
4.800000000000000000e+01,3.425479492187500000e+03,1.078390955924987793e+00
4.900000000000000000e+01,3.404631347656250000e+03,1.121247053146362305e+00
